"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"ER-Phagosome pathway Homo sapiens R-HSA-1236974",3.13204657960198e-11,2.84624732921330e-09,0.851339057116899,0.520172867012701,3.52408172492206,55,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;SEC61B;PSMB7;PSMC2;CALR;PDIA3;PSMD13;B2M;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;TAPBP;PSMB8;SEC61A1;PSMC5;UBA52;SEC61G"
"Integrin cell surface interactions Homo sapiens R-HSA-216083",9.06695732591443e-10,3.97949911978206e-08,0.801215574617779,0.711285683033584,3.51693971359078,21,"THBS1;CDH1;COL4A4;COL4A3;DAG1;ICAM1;COL4A2;BSG;AGRN;HSPG2;COL4A1;ITGB1;ITGA3;ITGB6;ITGA6;ITGAV;F11R;ITGB3;ITGA9"
"Vif-mediated degradation of APOBEC3G Homo sapiens R-HSA-180585",1.06181556564019e-10,8.57711018022689e-09,0.839088935621274,0.518648705923853,3.47068401209408,49,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;TCEB2;PSMD10;TCEB1;RBX1;PSMC1;PSMD2;PSMB10;PSMD14"
"CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017",2.10615550643425e-09,6.65728283990305e-08,0.774939030136436,0.530413935882423,3.4581115812071,45,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A Homo sapiens R-HSA-69601",2.10615550643425e-09,6.65728283990305e-08,0.774939030136436,0.530413935882423,3.4581115812071,45,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"p53-Independent DNA Damage Response Homo sapiens R-HSA-69610",2.10615550643425e-09,6.65728283990305e-08,0.774939030136436,0.530413935882423,3.4581115812071,45,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"p53-Independent G1/S DNA damage checkpoint Homo sapiens R-HSA-69613",2.10615550643425e-09,6.65728283990305e-08,0.774939030136436,0.530413935882423,3.4581115812071,45,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425",2.48705926752928e-09,7.69400888295229e-08,0.774939030136436,0.522130808019421,3.45555874855019,46,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390",2.71313667563435e-10,1.71276949401633e-08,0.814035837847908,0.508665897812535,3.44056252597732,52,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;SEL1L;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;ERLEC1;PSMC1;OS9;PSMD2;SHH;PSMB10;PSMD14"
"Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768",2.71313667563435e-10,1.71276949401633e-08,0.814035837847908,0.508665897812535,3.44056252597732,52,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;SEL1L;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;ERLEC1;PSMC1;OS9;PSMD2;SHH;PSMB10;PSMD14"
"SCF(Skp2)-mediated degradation of p27/p21 Homo sapiens R-HSA-187577",1.45627608176607e-10,1.07782014531181e-08,0.826657301178302,0.516302790943231,3.43836582529668,50,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;CKS1B;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52"
"Vpu mediated degradation of CD4 Homo sapiens R-HSA-180534",3.2449999492013e-09,9.36954126900258e-08,0.774939030136436,0.518689999182022,3.43278683603795,46,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Regulation of RAS by GAPs Homo sapiens R-HSA-5658442",3.29184736023861e-10,1.77272076362479e-08,0.814035837847908,0.495187600284281,3.41791753164616,56,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;RASA2;PSMC3;PSMD12;PSMC4;KRAS;HRAS;PSMB8;PSMC5;UBA52;PSMD10;RBX1;PSMC1;PSMD2;PSMB10;PSMD14;NF1"
"Assembly of the pre-replicative complex Homo sapiens R-HSA-68867",1.48255865930098e-10,1.07782014531181e-08,0.826657301178302,0.504270000109631,3.41634253631573,55,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"Mitotic G1-G1/S phases Homo sapiens R-HSA-453279",2.69900581904845e-12,4.36039384544049e-10,0.898671232061694,0.429337063106219,3.41221475435512,90,"CCND2;CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;CKS1B;PSMB4;PSMB5;UBC;TYMS;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;PCNA;PSMB7;RRM2;DBF4;RPA2;PSMC2;CDKN2D;ORC6;PSMD13;MCM6;DHFR;RBL1;CCND3;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PKMYT1;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;CDKN2B;PSMB8;PSMC5;CDK6;UBA52;MAX;TFDP2;RPA3;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14;RBBP4"
"Degradation of GLI2 by the proteasome Homo sapiens R-HSA-5610783",4.17751410742931e-10,2.0945191421387e-08,0.814035837847908,0.503856740394194,3.40803389202285,52,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;CSNK1A1;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;GSK3B;UBA52;PSMD10;RBX1;PSMC1;PRKACA;PSMD2;PSMB10;PSMD14"
"GLI3 is processed to GLI3R by the proteasome Homo sapiens R-HSA-5610785",4.17751410742931e-10,2.0945191421387e-08,0.814035837847908,0.503856740394194,3.40803389202285,52,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;CSNK1A1;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;GSK3B;UBA52;PSMD10;RBX1;PSMC1;PRKACA;PSMD2;PSMB10;PSMD14"
"Cell junction organization Homo sapiens R-HSA-446728",3.28642781787573e-09,9.36954126900258e-08,0.774939030136436,0.525748296251491,3.3807924912562,43,"CLDN23;CDH1;CTNND1;CADM1;CLDN18;JUP;CTNNB1;CLDN7;CDH13;CLDN3;LAMC2;FERMT2;CRB3;ITGB1;VASP;LAMA3;RSU1;PLEC;PVRL3;MLLT4;CTNNA1;ITGA6;PRKCI;LIMS1;MPP5;PARD6B;ACTN1;F11R;CD151;FLNA;PVRL1;PARVA;PARD3;ILK;PVRL2"
"Regulation of DNA replication Homo sapiens R-HSA-69304",1.83728413452018e-10,1.2721005388535e-08,0.826657301178302,0.485473359766351,3.37456705460539,59,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"Removal of licensing factors from origins Homo sapiens R-HSA-69300",4.75030837894278e-10,2.22804786547832e-08,0.801215574617779,0.486478589651926,3.36779781277793,57,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;GMNN;PSMB7;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52"
"Regulation of Apoptosis Homo sapiens R-HSA-169911",8.61668824923626e-09,2.05387946137533e-07,0.747739663149885,0.506315964548024,3.35089317456915,46,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Regulation of activated PAK-2p34 by proteasome mediated degradation Homo sapiens R-HSA-211733",8.61668824923626e-09,2.05387946137533e-07,0.747739663149885,0.506315964548024,3.35089317456915,46,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Platelet degranulation Homo sapiens R-HSA-114608",9.47265021618739e-09,2.22148926037685e-07,0.747739663149885,0.505330369123758,3.3443703208349,46,"CLU;SEPP1;PPIA;THBS1;SPARC;TMSB4X;CD63;CD9;ALDOA;ACTN4;CD36;VEGFA;TIMP3;PSAP;TGFB2;HSPA5;PDGFA;APP;LAMP2;CALU;TGFB3;APLP2;CFL1;PFN1;GAS6;PHACTR2;CALM1;ACTN1;FLNA;ITGB3;TLN1;PDGFB"
"Cross-presentation of soluble exogenous antigens (endosomes) Homo sapiens R-HSA-1236978",7.24827881470308e-09,1.79419388738947e-07,0.761460801445585,0.515142613696963,3.33210726083799,42,"PSMB1;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346",3.25965185746913e-10,1.77272076362479e-08,0.814035837847908,0.493029697758274,3.32692220476438,54,"PSMB1;UBB;P4HB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;SEL1L;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;ERLEC1;PSMC1;OS9;PSMD2;SHH;PSMB10;PSMD14"
"Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202",9.42206702270409e-10,3.97949911978206e-08,0.788186810800237,0.481815248533188,3.32561797595623,56,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;CKS1B;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PKMYT1;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;MAX"
