"","DB","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"568","Reactome","Cellular responses to stress Homo sapiens R-HSA-2262752","10/367",0.000104697282957189,0.01601868429245,0,0,4.35967302452316,39.9539504792052,"Eef1a1, Hsp90ab1, Hspa5, H3f3a, Hmga1, Txn, P4hb, Dynll1, Rbx1, Hspa1a"
"569","Reactome","Metabolism of proteins Homo sapiens R-HSA-392499","18/1074",0.000123139646682014,0.0171276054021347,0,0,2.68156424581006,24.1399548810462,"Eif4a2, Trappc1, Hspa5, H3f3a, Txn, Eef2, Dynll1, Areg, Herpud1, Eef1b2, Eef1a1, Eef1d, Ddit3, Vdac1, Hdgf, Sec61b, Pfdn4, Slc25a6"
"146","BioPlanet","Myc active pathway","5/85",0.000193578195735738,0.0171942985624096,0,0,9.41176470588235,80.46897896279,"Fosl1, Myc, Pim1, Hmga1, Gapdh"
"148","BioPlanet","TGF-beta regulation of extracellular matrix","12/565",0.000223037563524409,0.0177256168906241,0,0,3.39823008849558,28.5728974874909,"Fosl1, Tnfrsf12a, Myc, Pim1, Pawr, Cldn1, Dkk1, Areg, F3, Ctnnal1, S100a11, Herpud1"
"147","BioPlanet","Oxidative phosphorylation","6/136",0.000214068690566955,0.0179579845975612,0,0,7.05882352941176,59.641507838746,"Uqcrb, Ndufs6, Ndufs5, Ndufb3, Ndufc2, Cox6c"
"570","Reactome","Inflammasomes Homo sapiens R-HSA-622312","3/17",0.000152008729140511,0.0193811129654152,0,0,28.2352941176471,248.232638405956,"Hsp90ab1, Txnip, Txn"
"572","Reactome","Disease Homo sapiens R-HSA-1643685","14/725",0.000177736474694306,0.019424057591592,0,0,3.08965517241379,26.6798168661492,"Hsp90ab1, Hmga1, Eef2, Dkk1, Ereg, Rbx1, Myc, Ap1s1, Polr2f, Rictor, Slc25a5, Hbegf, Slc25a6, Hspa1a"
"573","Reactome","Unfolded Protein Response (UPR) Homo sapiens R-HSA-381119","5/86",0.000204508526865796,0.0208598697403112,0,0,9.30232558139535,79.0223338342829,"Hspa5, Ddit3, Hdgf, Sec61b, Herpud1"
"571","Reactome","Gene Expression Homo sapiens R-HSA-74160","23/1631",0.000177562773854871,0.0208977726152271,0,0,2.25628448804414,19.4856933110136,"Eif4a2, Imp3, H3f3a, Ddx21, Txn, Ybx1, Eef2, Cox6c, Ell2, Eef1b2, Eef1a1, Taf1d, Eef1d, Myc, Polr1d, Polr2f, Snrpe, Rictor, Srsf5, Sec61b, Snrnp35, Hnrnpa1, Hspa1a"
"149","BioPlanet","Interleukin-5 regulation of apoptosis","6/144",0.000291493679865437,0.0220077728298405,0,0,6.66666666666667,54.2699482255396,"Dusp4, Tpm4, Pim1, Ier2, Fosl2, Hbegf"
"150","BioPlanet","ERBB signaling pathway","5/94",0.000309775246177732,0.0222743153203988,0,0,8.51063829787234,68.7630939213917,"Myc, Abl2, Areg, Ereg, Hbegf"
"151","BioPlanet","Translation","6/151",0.00037590441927412,0.0258007124138146,0,0,6.35761589403973,50.1372756616555,"Eif4a2, Eef1b2, Eef1a1, Eef1d, Sec61b, Eef2"
"574","Reactome","mRNA Splicing Homo sapiens R-HSA-72172","6/144",0.000291493679865437,0.0278740831371324,0,0,6.66666666666667,54.2699482255396,"Polr2f, Snrpe, Srsf5, Ybx1, Snrnp35, Hnrnpa1"
"575","Reactome","mRNA Splicing - Minor Pathway Homo sapiens R-HSA-72165","4/52",0.000312142902812983,0.0280928612531685,0,0,12.3076923076923,99.3483009621944,"Polr2f, Snrpe, Ybx1, Snrnp35"
"152","BioPlanet","Tumor suppressor Arf inhibits ribosomal biogenesis","3/24",0.000438223217573255,0.0287703068928528,0,0,20,154.65564296484,"Myc, Polr1d, Hspa1a"
"576","Reactome","Translation Homo sapiens R-HSA-72766","6/151",0.00037590441927412,0.0319518756383002,0,0,6.35761589403973,50.1372756616555,"Eif4a2, Eef1b2, Eef1a1, Eef1d, Sec61b, Eef2"
"577","Reactome","RNA Polymerase I Chain Elongation Homo sapiens R-HSA-73777","4/57",0.000444616034826117,0.0358032912254715,0,0,11.2280701754386,86.6616083239161,"Taf1d, H3f3a, Polr1d, Polr2f"
"153","BioPlanet","PERK-regulated gene expression","3/28",0.00069648495650454,0.043820511846744,0,0,17.1428571428571,124.61938909164,"Hspa5, Ddit3, Herpud1"
"578","Reactome","Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562","3/27",0.000624700971252678,0.0477896243008299,0,0,17.7777777777778,131.168666110496,"Hsp90ab1, Eef2, Hbegf"
