"","DB","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"413","Reactome","Antigen Presentation: Folding, assembly and peptide loading of class I MHC Homo sapiens R-HSA-983170","3/25",6.16983644903014e-06,0.00134854996671659,0,0,82.7586206896552,992.759025753008,"Hla-b, Hla-a, B2m"
"105","BioPlanet","Interleukin-2 signaling pathway","8/847",1.94349332493633e-05,0.00225744224665681,0,0,6.51386231323535,70.6652342350631,"Ifitm3, Zfp36, Jun, Socs1, Wars, Gbp1, Bbc3, Ier3"
"414","Reactome","Innate Immune System Homo sapiens R-HSA-168249","8/807",1.36915433279922e-05,0.00261850766147851,0,0,6.8367303337179,76.5627120697489,"Nfkbia, Jun, Socs1, Hla-b, Fn1, Isg15, B2m, Ier3"
"106","BioPlanet","Prolactin regulation of apoptosis","4/118",2.43977223271292e-05,0.00263146862242608,0,0,23.3781414377557,248.299725944385,"Eef1a1, Egr1, Gbp1, Ier3"
"3","KEGG","Osteoclast differentiation","4/128",3.35796118699287e-05,0.00339154079886279,0,0,21.551724137931,222.017057429997,"Nfkbia, Jun, Socs1, Junb"
"2","KEGG","Human T-cell leukemia virus 1 infection","5/245",2.47292692922118e-05,0.00374648429777009,0,0,14.0745953553835,149.296594289813,"Nfkbia, Egr1, Zfp36, Jun, B2m"
"1","KEGG","AGE-RAGE signaling pathway in diabetic complications","4/101",1.32036210338908e-05,0.00400069717326893,0,0,27.3130761351997,306.862941488336,"Col1a1, Egr1, Jun, Fn1"
"107","BioPlanet","Regulation of NFAT transcription factors","3/47",4.25752915167748e-05,0.00428591267935533,0,0,44.0205429200293,443.033154114626,"Egr1, Jun, Junb"
"108","BioPlanet","Interleukin-5 regulation of apoptosis","4/144",5.32153141839485e-05,0.00502219527611014,0,0,19.1570881226054,188.528052537166,"Egr1, Socs1, Sod2, Ier3"
"109","BioPlanet","Nef-mediated downregulation of MHC class I complex cell surface expression","2/10",9.06952185550059e-05,0.008055869412827,0,0,137.931034482759,1283.86288543133,"Hla-a, B2m"
"111","BioPlanet","Interleukin-12-mediated signaling events","3/65",0.000112696560071392,0.00895641082672641,0,0,31.8302387267905,289.362705366514,"Socs1, Hla-a, B2m"
"110","BioPlanet","Erythropoietin-mediated neuroprotection through NF-kB","2/11",0.000110750188807709,0.00929071028331339,0,0,125.391849529781,1142.09823752106,"Nfkbia, Sod2"
"112","BioPlanet","CTL mediated immune response against target cells","2/13",0.000156781948116332,0.0118370370827831,0,0,106.100795755968,929.512422650894,"Hla-a, B2m"
"113","BioPlanet","Prolactin activation of MAPK signaling","3/75",0.000172529901065981,0.0124057214576015,0,0,27.5862068965517,239.032827503489,"Nfkbia, Jun, Socs1"
"116","BioPlanet","Antigen processing and presentation","3/81",0.000216727535090619,0.0136357740827848,0,0,25.5427841634738,215.501139004061,"Hla-b, Hla-a, B2m"
"115","BioPlanet","Apoptosis modulation and signaling","3/80",0.000208903833083185,0.0137149907806787,0,0,25.8620689655172,219.145772603788,"Nfkbia, Jun, Bbc3"
"114","BioPlanet","Antigen processing: cross presentation","3/79",0.000201265756164391,0.0138141496276468,0,0,26.1894369271061,222.895268962815,"Hla-b, Hla-a, B2m"
"415","Reactome","Nef mediated downregulation of MHC class I complex cell surface expression Homo sapiens R-HSA-164940","2/10",9.06952185550059e-05,0.015418187154351,0,0,137.931034482759,1283.86288543133,"Hla-a, B2m"
"117","BioPlanet","Cadmium-induced DNA biosynthesis and proliferation in macrophages","2/17",0.000272382640491521,0.0164519114856879,0,0,81.1359026369168,665.988049795077,"Nfkbia, Jun"
"416","Reactome","ER-Phagosome pathway Homo sapiens R-HSA-1236974","3/65",0.000112696560071392,0.017242573690923,0,0,31.8302387267905,289.362705366514,"Hla-b, Hla-a, B2m"
"120","BioPlanet","Senescence and autophagy","3/99",0.000391505118341867,0.0211133117391507,0,0,20.8986415882968,163.960542715752,"Col1a1, Jun, Fn1"
"119","BioPlanet","4-1BB-dependent immune response","2/20",0.000379510134877263,0.0212244556912839,0,0,68.9655172413793,543.215810732155,"Nfkbia, Jun"
"118","BioPlanet","TSH regulation of gene expression","3/97",0.000368736506968532,0.0214150817508647,0,0,21.3295414148596,168.619159095304,"Ppp1r15a, Egr1, Jun"
"123","BioPlanet","ERBB1 downstream pathway","3/106",0.000478272412212509,0.023296494917448,0,0,19.5185426154847,149.225701127742,"Egr1, Zfp36, Jun"
"121","BioPlanet","Interleukin-4 signaling pathway","3/104",0.000452337447314574,0.0235527429463796,0,0,19.893899204244,153.20455089823,"Nfkbia, Col1a1, Socs1"
"122","BioPlanet","Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins","4/255",0.000476987708487035,0.0240083813271808,0,0,10.8181203515889,82.7371990347958,"Socs1, Hla-b, Hla-a, B2m"
"4","KEGG","Epstein-Barr virus infection","4/229",0.000317548668106891,0.024054311609097,0,0,12.0463785574462,97.0321272820659,"Nfkbia, Jun, Isg15, B2m"
"126","BioPlanet","Ras-independent pathway in NK cell-mediated cytotoxicity","2/24",0.000549310620169256,0.0243958540133993,0,0,57.4712643678161,431.42795883891,"Hla-a, B2m"
"127","BioPlanet","Interleukin-4 regulation of apoptosis","4/267",0.000567078097899404,0.0244653693665171,0,0,10.3319126953377,77.2311871359627,"Jun, Nnmt, Ifi6, Fn1"
"125","BioPlanet","FSH regulation of apoptosis","4/263",0.00053580701897086,0.0245172302619999,0,0,10.4890520519208,79.000776199886,"Ifitm3, Isg15, Gbp1, Ier3"
"124","BioPlanet","BDNF signaling pathway","4/261",0.000520642361984249,0.0245678114561317,0,0,10.5694279297133,79.909601767738,"Egr1, Zfp36, Jun, Junb"
"128","BioPlanet","Alpha-9 beta-1 integrin pathway","2/25",0.000596540573547506,0.0250215629460204,0,0,55.1724137931035,409.620044103765,"Fn1, Sat1"
"131","BioPlanet","Oxidative stress","2/27",0.000696699564999768,0.0269747780294782,0,0,51.0855683269476,371.348979836565,"Sod2, Junb"
"129","BioPlanet","Immunoregulatory interactions between a lymphoid and a non-lymphoid cell","3/119",0.00067030170453234,0.0273555560498333,0,0,17.3862648507679,127.055044479816,"Hla-b, Hla-a, B2m"
"130","BioPlanet","TNF/stress-related signaling","2/27",0.000696699564999768,0.0276846406092013,0,0,51.0855683269476,371.348979836565,"Nfkbia, Jun"
"132","BioPlanet","Nef in HIV-1 replication and disease pathogenesis","2/28",0.000749618154288801,0.0282980853244022,0,0,49.2610837438424,354.480128507306,"Hla-a, B2m"
"133","BioPlanet","Interleukin-1 signaling pathway","3/125",0.000773318607362794,0.0284807584662883,0,0,16.551724137931,118.590114610041,"Nfkbia, Zfp36, Jun"
"134","BioPlanet","T cell receptor calcium pathway","2/29",0.000804422523995621,0.0289209050293664,0,0,47.5624256837099,338.900637311235,"Jun, Junb"
"136","BioPlanet","Tumor necrosis factor (TNF) pathway","2/30",0.000861107475231591,0.0295516428999932,0,0,45.9770114942529,324.47316024247,"Nfkbia, Jun"
"138","BioPlanet","CD40/CD40L signaling","2/31",0.000919667819371854,0.0301890958098152,0,0,44.4938820912125,311.078888499281,"Nfkbia, Jun"
"135","BioPlanet","Inflammatory response pathway","2/30",0.000861107475231591,0.0302388904092954,0,0,45.9770114942529,324.47316024247,"Col1a1, Fn1"
"137","BioPlanet","Alpha-V beta-3 integrin/OPN pathway","2/31",0.000919667819371854,0.0308599646055889,0,0,44.4938820912125,311.078888499281,"Nfkbia, Jun"
"417","Reactome","Antigen processing-Cross presentation Homo sapiens R-HSA-1236975","3/82",0.000224738836818022,0.0312591291210521,0,0,25.2312867956266,211.957230155838,"Hla-b, Hla-a, B2m"
"421","Reactome","Toll Like Receptor 2 (TLR2) Cascade Homo sapiens R-HSA-181438","3/92",0.000315598029805467,0.0321909990401577,0,0,22.4887556221889,181.282785870473,"Nfkbia, Jun, Socs1"
"5","KEGG","TNF signaling pathway","3/110",0.00053296652410976,0.0322977713610514,0,0,18.8087774294671,141.762732457413,"Nfkbia, Jun, Junb"
"141","BioPlanet","Toll-like receptor signaling pathway regulation","3/142",0.00111835608851787,0.0344636264012648,0,0,14.570179698883,99.0174179216952,"Nfkbia, Jun, Socs1"
"420","Reactome","Toll Like Receptor TLR6:TLR2 Cascade Homo sapiens R-HSA-168188","3/92",0.000315598029805467,0.0344903561144547,0,0,22.4887556221889,181.282785870473,"Nfkbia, Jun, Socs1"
"140","BioPlanet","EPO receptor signaling","2/34",0.00110654947584849,0.0348102022610672,0,0,40.5679513184584,276.126113007983,"Jun, Socs1"
"139","BioPlanet","EGF receptor transactivation by GPCRs in cardiac hypertrophy","2/34",0.00110654947584849,0.0355508448623665,0,0,40.5679513184584,276.126113007983,"Nfkbia, Jun"
"419","Reactome","Toll Like Receptor TLR1:TLR2 Cascade Homo sapiens R-HSA-168179","3/92",0.000315598029805467,0.0371434604309512,0,0,22.4887556221889,181.282785870473,"Nfkbia, Jun, Socs1"
"143","BioPlanet","FRA pathway","2/37",0.00131012385429748,0.0387899415684156,0,0,37.2786579683131,247.442072729653,"Jun, Junb"
"142","BioPlanet","Allograft rejection","2/37",0.00131012385429748,0.0395657403997839,0,0,37.2786579683131,247.442072729653,"Hla-b, Hla-a"
"422","Reactome","Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters Homo sapiens R-HSA-164938","2/21",0.000419081836502839,0.040074700615584,0,0,65.6814449917898,510.833782808811,"Hla-a, B2m"
"144","BioPlanet","Signal transduction through IL-1R","2/38",0.00138166752085505,0.0401214991632909,0,0,36.2976406533575,239.000514004818,"Nfkbia, Jun"
"418","Reactome","MyD88:Mal cascade initiated on plasma membrane Homo sapiens R-HSA-166058","3/92",0.000315598029805467,0.0402387488001971,0,0,22.4887556221889,181.282785870473,"Nfkbia, Jun, Socs1"
"8","KEGG","Measles","3/144",0.00116436018477847,0.0441001419984847,0,0,14.367816091954,97.0629819029277,"Nfkbia, Jun, Bbc3"
"6","KEGG","Relaxin signaling pathway","3/131",0.000885916040577899,0.0447387600491839,0,0,15.793629902606,111.011661608479,"Nfkbia, Col1a1, Jun"
"146","BioPlanet","Adaptive immune system","5/606",0.00163194511321298,0.045634020758363,0,0,5.69022419483328,36.5197601833132,"Nfkbia, Socs1, Hla-b, Hla-a, B2m"
"145","BioPlanet","Graft-versus-host disease","2/41",0.00160728363469905,0.0457924205357653,0,0,33.6417157275021,216.424212222015,"Hla-b, Hla-a"
"147","BioPlanet","TWEAK signaling pathway","2/42",0.00168613375256725,0.0462920357523009,0,0,32.8407224958949,209.698426642093,"Nfkbia, Jun"
"149","BioPlanet","Type 1 diabetes mellitus","2/43",0.00176679778895015,0.04680464318096,0,0,32.0769847634322,203.322743534431,"Hla-b, Hla-a"
"7","KEGG","Apoptosis","3/141",0.00109579332397958,0.0474321967379731,0,0,14.6735143066765,100.018733400584,"Nfkbia, Jun, Bbc3"
"148","BioPlanet","Beta-3 integrin cell surface interactions","2/43",0.00176679778895015,0.04764044038062,0,0,32.0769847634322,203.322743534431,"Col1a1, Fn1"
"150","BioPlanet","Gastrin pathway","2/44",0.00184927068711804,0.0481448058197971,0,0,31.3479623824451,197.271596890211,"Jun, Ier3"
