Parent	Type	Child	Weight	Probability	Score
DKK1	+	RSPO1	0.022697	0.133691	0.004595
WNT4	+	RSPO1	0.138838	1.000000	0.210256
CBX2	+	RSPO1	0.146823	0.000000	0.000000
AMH	-	RSPO1	-0.000841	0.085849	-0.000109
NR0B1	-	RSPO1	-0.045700	0.369094	-0.025544
NR5A1	+	RSPO1	0.145028	0.000000	0.000000
WT1pKTS	-	RSPO1	-0.048113	0.455849	-0.033214
FOXL2	+	RSPO1	0.227338	0.934195	0.321625
UGR	+	RSPO1	0.071594	0.788868	0.085530
SOX9	+	RSPO1	0.005196	0.074214	0.000584
GATA4	+	RSPO1	0.070350	0.943290	0.100496
DMRT1	-	DHH	-0.010950	0.113123	-0.001876
FGF9	+	DHH	0.280934	1.000000	0.425446
RSPO1	-	DHH	-0.002039	0.027132	-0.000084
DHH	+	DHH	0.301582	1.000000	0.456715
CTNNB1	+	DHH	0.024337	0.066681	0.002458
PGD2	+	DHH	0.260212	1.000000	0.394064
WT1mKTS	-	DHH	-0.034458	0.469198	-0.024484
SRY	-	DHH	-0.022989	0.233090	-0.008115
DKK1	+	DHH	0.036433	0.046766	0.002580
WNT4	+	DHH	0.028725	0.114139	0.004965
CBX2	+	DHH	0.007047	0.035368	0.000377
AMH	+	DHH	0.282905	1.000000	0.428430
NR0B1	-	DHH	-0.050214	0.496619	-0.037765
NR5A1	-	DHH	-0.010393	0.095247	-0.001499
WT1pKTS	+	DHH	0.032006	0.039515	0.001915
FOXL2	+	DHH	0.028393	0.416749	0.017920
UGR	-	DHH	-0.017073	0.056353	-0.001457
SOX9	+	DHH	0.128259	0.981242	0.190591
GATA4	+	DHH	0.040209	0.034736	0.002115
DMRT1	-	CTNNB1	-0.058194	0.998834	-0.088026
FGF9	+	CTNNB1	0.002143	0.082648	0.000268
RSPO1	+	CTNNB1	0.110898	1.000000	0.167944
DHH	+	CTNNB1	0.007366	0.082729	0.000923
CTNNB1	+	CTNNB1	0.424712	1.000000	0.643183
PGD2	+	CTNNB1	0.009910	0.086724	0.001301
WT1mKTS	+	CTNNB1	0.004374	0.073141	0.000484
SRY	+	CTNNB1	0.045430	0.116755	0.008033
DKK1	-	CTNNB1	-0.060498	0.999162	-0.091541
WNT4	-	CTNNB1	-0.000744	0.052993	-0.000060
CBX2	-	CTNNB1	-0.066143	0.998460	-0.100013
AMH	+	CTNNB1	0.002396	0.077738	0.000282
NR0B1	+	CTNNB1	0.027577	0.117191	0.004894
NR5A1	+	CTNNB1	0.007402	0.062188	0.000697
WT1pKTS	+	CTNNB1	0.054179	0.093190	0.007646
FOXL2	-	CTNNB1	-0.108188	0.719186	-0.117831
UGR	+	CTNNB1	0.025974	0.131124	0.005158
SOX9	+	CTNNB1	0.038602	0.183400	0.010721
GATA4	-	CTNNB1	-0.003613	0.098818	-0.000541
DMRT1	-	PGD2	-0.031563	0.382636	-0.018289
FGF9	+	PGD2	0.179916	0.999999	0.272465
RSPO1	+	PGD2	0.002092	0.026386	0.000084
DHH	+	PGD2	0.252444	1.000000	0.382300
CTNNB1	+	PGD2	0.018140	0.053158	0.001460
PGD2	+	PGD2	0.344443	1.000000	0.521624
WT1mKTS	-	PGD2	-0.048848	0.907598	-0.067140
SRY	-	PGD2	-0.006393	0.095964	-0.000929
DKK1	+	PGD2	0.059971	0.052111	0.004733
WNT4	+	PGD2	0.020266	0.082416	0.002529
CBX2	+	PGD2	0.002994	0.034790	0.000158
AMH	+	PGD2	0.302388	1.000000	0.457935
NR0B1	-	PGD2	-0.057511	0.823996	-0.071766
NR5A1	+	PGD2	0.006694	0.052026	0.000527
WT1pKTS	+	PGD2	0.025112	0.039208	0.001491
FOXL2	-	PGD2	-0.079940	0.528455	-0.063975
UGR	-	PGD2	-0.026616	0.111912	-0.004511
SOX9	+	PGD2	0.113839	0.927109	0.159831
GATA4	+	PGD2	0.066599	0.025911	0.002613
DMRT1	+	WT1mKTS	0.220757	0.999996	0.334312
FGF9	+	WT1mKTS	0.124706	0.495293	0.093538
RSPO1	-	WT1mKTS	-0.004699	0.045184	-0.000322
DHH	-	WT1mKTS	-0.035363	0.135327	-0.007247
CTNNB1	+	WT1mKTS	0.139180	0.526064	0.110880
PGD2	+	WT1mKTS	0.050020	0.111188	0.008423
WT1mKTS	+	WT1mKTS	0.417238	1.000000	0.631864
SRY	+	WT1mKTS	0.059842	0.077405	0.007015
DKK1	+	WT1mKTS	0.054635	0.088744	0.007343
WNT4	+	WT1mKTS	0.061902	0.121131	0.011355
CBX2	+	WT1mKTS	0.028604	0.066057	0.002861
AMH	-	WT1mKTS	-0.046724	0.161353	-0.011417
NR0B1	+	WT1mKTS	0.185143	0.999311	0.280188
NR5A1	+	WT1mKTS	0.236793	1.000000	0.358599
WT1pKTS	+	WT1mKTS	0.251249	0.999981	0.380484
FOXL2	+	WT1mKTS	0.119396	0.483781	0.087474
UGR	+	WT1mKTS	0.237663	1.000000	0.359916
SOX9	+	WT1mKTS	0.199873	0.000000	0.000000
GATA4	+	WT1mKTS	0.322844	1.000000	0.488914
DMRT1	+	SRY	0.270322	0.999989	0.409371
FGF9	+	SRY	0.042168	0.099635	0.006363
RSPO1	-	SRY	-0.049835	0.098380	-0.007425
DHH	+	SRY	0.028797	0.092709	0.004043
CTNNB1	+	SRY	0.194111	0.821910	0.241609
PGD2	+	SRY	0.100520	0.226526	0.034483
WT1mKTS	+	SRY	0.190977	0.611630	0.176893
SRY	+	SRY	0.344971	1.000000	0.522423
DKK1	+	SRY	0.240442	0.998706	0.363654
WNT4	+	SRY	0.180419	0.982771	0.268519
CBX2	-	SRY	-0.212284	0.999968	-0.321472
AMH	+	SRY	0.057777	0.111067	0.009718
NR0B1	+	SRY	0.227553	0.999936	0.344583
NR5A1	+	SRY	0.033544	0.063979	0.003250
WT1pKTS	+	SRY	0.132092	0.082913	0.016586
FOXL2	-	SRY	-0.062908	0.424342	-0.040426
UGR	-	SRY	-0.224395	0.999885	-0.339784
SOX9	+	SRY	0.185481	0.947013	0.266008
GATA4	+	SRY	0.187038	0.546727	0.154860
DMRT1	+	DKK1	0.406877	1.000000	0.616173
FGF9	-	DKK1	-0.070370	0.500034	-0.053288
RSPO1	+	DKK1	0.157382	0.990815	0.236150
DHH	+	DKK1	0.145690	0.966157	0.213165
CTNNB1	-	DKK1	-0.201481	0.999156	-0.304865
PGD2	-	DKK1	-0.042895	0.236545	-0.015366
WT1mKTS	+	DKK1	0.110100	0.240841	0.040157
SRY	+	DKK1	0.119093	0.530588	0.095693
DKK1	+	DKK1	0.381417	1.000000	0.577617
WNT4	+	DKK1	0.286709	0.000000	0.000000
CBX2	-	DKK1	-0.145149	0.999988	-0.219811
AMH	+	DKK1	0.111765	0.631547	0.106893
NR0B1	+	DKK1	0.104694	0.712086	0.112900
NR5A1	+	DKK1	0.218904	0.000000	0.000000
WT1pKTS	+	DKK1	0.149154	0.949334	0.214434
FOXL2	+	DKK1	0.025033	0.409662	0.015530
UGR	-	DKK1	-0.012098	0.049759	-0.000912
SOX9	+	DKK1	0.118449	0.685525	0.122968
GATA4	+	DKK1	0.066412	0.059622	0.005996
DMRT1	+	WNT4	0.282790	0.000000	0.000000
FGF9	+	WNT4	0.057982	0.219211	0.019248
RSPO1	+	WNT4	0.335035	1.000000	0.507376
DHH	+	WNT4	0.021633	0.103322	0.003385
CTNNB1	-	WNT4	-0.199474	0.996146	-0.300918
PGD2	+	WNT4	0.050474	0.179480	0.013719
WT1mKTS	+	WNT4	0.063550	0.186819	0.017979
SRY	+	WNT4	0.090568	0.491000	0.067344
DKK1	+	WNT4	0.323252	0.000000	0.000000
WNT4	+	WNT4	0.528724	1.000000	0.800698
CBX2	-	WNT4	-0.076204	0.402477	-0.046447
AMH	+	WNT4	0.007881	0.089614	0.001070
NR0B1	+	WNT4	0.149223	0.999922	0.225965
NR5A1	+	WNT4	0.126595	0.991842	0.190151
WT1pKTS	+	WNT4	0.038546	0.104730	0.006113
FOXL2	+	WNT4	0.055599	0.433316	0.036485
UGR	-	WNT4	-0.195317	1.000000	-0.295787
SOX9	-	WNT4	-0.138834	0.997413	-0.209706
GATA4	+	WNT4	0.158335	0.999929	0.239765
DMRT1	-	CBX2	-0.081056	0.257070	-0.031556
FGF9	+	CBX2	0.010585	0.092653	0.001485
RSPO1	-	CBX2	-0.018958	0.049399	-0.001418
DHH	-	CBX2	-0.011592	0.093463	-0.001641
CTNNB1	-	CBX2	-0.291173	0.999926	-0.440919
PGD2	-	CBX2	-0.024025	0.102997	-0.003747
WT1mKTS	+	CBX2	0.214057	0.999959	0.324155
SRY	+	CBX2	0.451191	0.000000	0.000000
DKK1	-	CBX2	-0.170567	0.986613	-0.254848
WNT4	+	CBX2	0.038686	0.081095	0.004751
CBX2	+	CBX2	0.392928	1.000000	0.595049
AMH	-	CBX2	-0.109466	0.510171	-0.084573
NR0B1	-	CBX2	-0.094142	0.333715	-0.047577
NR5A1	+	CBX2	0.237179	1.000000	0.359183
WT1pKTS	+	CBX2	0.165033	0.985998	0.246426
FOXL2	+	CBX2	0.292205	0.702269	0.310764
UGR	+	CBX2	0.284813	1.000000	0.431320
SOX9	-	CBX2	-0.195137	0.998940	-0.295201
GATA4	+	CBX2	0.211290	0.999966	0.319966
DMRT1	+	AMH	0.132291	0.000000	0.000000
FGF9	+	AMH	0.198113	1.000000	0.300022
RSPO1	+	AMH	0.034477	0.142259	0.007428
DHH	+	AMH	0.229633	1.000000	0.347755
CTNNB1	-	AMH	-0.023836	0.076700	-0.002769
PGD2	+	AMH	0.288102	1.000000	0.436301
WT1mKTS	+	AMH	0.060687	0.037534	0.003450
SRY	+	AMH	0.028299	0.047968	0.002056
DKK1	+	AMH	0.007401	0.065220	0.000731
WNT4	+	AMH	0.011534	0.056570	0.000988
CBX2	-	AMH	-0.012917	0.062432	-0.001221
AMH	+	AMH	0.364179	1.000000	0.551511
NR0B1	-	AMH	-0.069693	0.960655	-0.101390
NR5A1	-	AMH	-0.028285	0.357342	-0.015307
WT1pKTS	+	AMH	0.034543	0.037438	0.001958
FOXL2	+	AMH	0.040415	0.436668	0.026726
UGR	-	AMH	-0.030854	0.137266	-0.006414
SOX9	+	AMH	0.081686	0.199946	0.024734
GATA4	-	AMH	-0.004515	0.096594	-0.000661
DMRT1	+	NR0B1	0.156387	0.988298	0.234060
FGF9	-	NR0B1	-0.145073	0.978122	-0.214891
RSPO1	+	NR0B1	0.338130	0.000000	0.000000
DHH	-	NR0B1	-0.178618	0.999272	-0.270302
CTNNB1	+	NR0B1	0.262999	0.999911	0.398249
PGD2	-	NR0B1	-0.241706	1.000000	-0.366039
WT1mKTS	+	NR0B1	0.186817	0.999804	0.282860
SRY	+	NR0B1	0.093097	0.306520	0.043215
DKK1	+	NR0B1	0.152861	0.980106	0.226887
WNT4	+	NR0B1	0.264012	1.000000	0.399819
CBX2	-	NR0B1	-0.148748	0.994242	-0.223967
AMH	-	NR0B1	-0.262480	1.000000	-0.397498
NR0B1	+	NR0B1	0.431386	1.000000	0.653290
NR5A1	-	NR0B1	-0.190454	0.000000	-0.000000
WT1pKTS	+	NR0B1	0.245571	1.000000	0.371892
FOXL2	-	NR0B1	-0.071914	0.442549	-0.048196
UGR	-	NR0B1	-0.265484	1.000000	-0.402049
SOX9	+	NR0B1	0.031261	0.088148	0.004173
GATA4	+	NR0B1	0.124943	0.726593	0.137481
DMRT1	+	NR5A1	0.436930	0.000000	0.000000
FGF9	+	NR5A1	0.070048	0.139299	0.014777
RSPO1	+	NR5A1	0.430181	0.000000	0.000000
DHH	-	NR5A1	-0.057760	0.183551	-0.016055
CTNNB1	+	NR5A1	0.007485	0.049955	0.000566
PGD2	+	NR5A1	0.216522	0.995553	0.326442
WT1mKTS	+	NR5A1	0.245790	0.999907	0.372189
SRY	+	NR5A1	0.242416	0.000000	0.000000
DKK1	-	NR5A1	-0.046646	0.175320	-0.012385
WNT4	+	NR5A1	0.135938	0.627109	0.129099
CBX2	+	NR5A1	0.122068	0.480329	0.088793
AMH	-	NR5A1	-0.076560	0.250483	-0.029041
NR0B1	+	NR5A1	0.019011	0.063216	0.001820
NR5A1	+	NR5A1	0.592109	1.000000	0.896689
WT1pKTS	+	NR5A1	0.162824	0.594242	0.146529
FOXL2	+	NR5A1	0.299702	0.718698	0.326193
UGR	+	NR5A1	0.038774	0.069435	0.004077
SOX9	+	NR5A1	0.337407	1.000000	0.510968
GATA4	+	NR5A1	0.243537	0.999889	0.368772
DMRT1	+	WT1pKTS	0.143818	0.724559	0.157807
FGF9	-	WT1pKTS	-0.053707	0.177722	-0.014455
RSPO1	-	WT1pKTS	-0.016423	0.051671	-0.001285
DHH	+	WT1pKTS	0.075636	0.173088	0.019826
CTNNB1	+	WT1pKTS	0.115532	0.309637	0.054175
PGD2	-	WT1pKTS	-0.016709	0.105474	-0.002669
WT1mKTS	+	WT1pKTS	0.305825	1.000000	0.463140
SRY	+	WT1pKTS	0.232636	0.000000	0.000000
DKK1	+	WT1pKTS	0.180055	0.981719	0.267690
WNT4	+	WT1pKTS	0.094646	0.278240	0.039881
CBX2	+	WT1pKTS	0.049805	0.099025	0.007469
AMH	+	WT1pKTS	0.172662	0.954739	0.249644
NR0B1	+	WT1pKTS	0.208573	0.999961	0.315850
NR5A1	+	WT1pKTS	0.228865	0.999999	0.346592
WT1pKTS	+	WT1pKTS	0.401916	1.000000	0.608660
FOXL2	+	WT1pKTS	0.399144	0.882355	0.533351
UGR	+	WT1pKTS	0.167502	0.977197	0.247880
SOX9	+	WT1pKTS	0.290670	0.000000	0.000000
GATA4	+	WT1pKTS	0.309630	1.000000	0.468903
DMRT1	-	FOXL2	-0.005712	0.171272	-0.001482
FGF9	+	FOXL2	0.000174	0.084926	0.000022
RSPO1	+	FOXL2	0.003820	0.064785	0.000375
DHH	+	FOXL2	0.000855	0.084402	0.000109
CTNNB1	+	FOXL2	0.011515	0.235885	0.004114
PGD2	-	FOXL2	-0.000445	0.086945	-0.000059
WT1mKTS	+	FOXL2	0.003929	0.084862	0.000505
SRY	-	FOXL2	-0.003750	0.119688	-0.000680
DKK1	+	FOXL2	0.011387	0.266584	0.004597
WNT4	+	FOXL2	0.006901	0.145966	0.001525
CBX2	+	FOXL2	0.002954	0.064072	0.000287
AMH	+	FOXL2	0.008248	0.220952	0.002760
NR0B1	+	FOXL2	0.004034	0.086717	0.000530
NR5A1	-	FOXL2	-0.003253	0.101872	-0.000502
WT1pKTS	+	FOXL2	0.003340	0.082855	0.000419
FOXL2	+	FOXL2	0.014080	0.482311	0.010284
UGR	+	FOXL2	0.012232	0.548399	0.010159
SOX9	-	FOXL2	-0.000635	0.066125	-0.000064
GATA4	+	FOXL2	0.008371	0.122660	0.001555
DMRT1	+	UGR	0.029401	0.089837	0.004000
FGF9	-	UGR	-0.034529	0.183598	-0.009601
RSPO1	+	UGR	0.171694	0.999981	0.260008
DHH	-	UGR	-0.038342	0.202739	-0.011772
CTNNB1	-	UGR	-0.042999	0.112941	-0.007354
PGD2	-	UGR	-0.082701	0.794001	-0.099442
WT1mKTS	+	UGR	0.147449	0.998806	0.223030
SRY	-	UGR	-0.086141	0.964284	-0.125793
DKK1	-	UGR	-0.037416	0.203008	-0.011503
WNT4	+	UGR	0.301375	0.000000	0.000000
CBX2	+	UGR	0.124359	0.990130	0.186470
AMH	-	UGR	-0.107811	0.982003	-0.160331
NR0B1	+	UGR	0.302831	0.000000	0.000000
NR5A1	+	UGR	0.110602	0.900925	0.150901
WT1pKTS	+	UGR	0.037989	0.077445	0.004455
FOXL2	+	UGR	0.357862	0.968451	0.524847
UGR	+	UGR	0.513060	1.000000	0.776977
SOX9	-	UGR	-0.083794	0.840161	-0.106614
GATA4	+	UGR	0.151788	0.999719	0.229803
DMRT1	+	SOX9	0.162567	0.666509	0.164089
FGF9	+	SOX9	0.009345	0.084874	0.001201
RSPO1	-	SOX9	-0.076795	0.378121	-0.043975
DHH	+	SOX9	0.131254	0.489631	0.097325
CTNNB1	+	SOX9	0.112252	0.598965	0.101820
PGD2	+	SOX9	0.141179	0.670961	0.143452
WT1mKTS	-	SOX9	-0.026838	0.290981	-0.011827
SRY	+	SOX9	0.012347	0.055613	0.001040
DKK1	+	SOX9	0.063243	0.023503	0.002251
WNT4	-	SOX9	-0.150337	1.000000	-0.227669
CBX2	-	SOX9	-0.067826	0.456224	-0.046861
AMH	+	SOX9	0.091889	0.117401	0.016337
NR0B1	+	SOX9	0.087091	0.414216	0.054631
NR5A1	+	SOX9	0.171953	0.890397	0.231863
WT1pKTS	-	SOX9	-0.003281	0.094773	-0.000471
FOXL2	-	SOX9	-0.009587	0.404095	-0.005867
UGR	-	SOX9	-0.054630	0.218304	-0.018061
SOX9	+	SOX9	0.589470	1.000000	0.892692
GATA4	-	SOX9	-0.007766	0.112800	-0.001327
DMRT1	+	GATA4	0.154664	0.616181	0.144324
FGF9	+	GATA4	0.106268	0.300217	0.048314
RSPO1	+	GATA4	0.145724	0.814677	0.179786
DHH	-	GATA4	-0.019124	0.112378	-0.003255
CTNNB1	+	GATA4	0.018083	0.053034	0.001452
PGD2	+	GATA4	0.052049	0.106339	0.008382
WT1mKTS	+	GATA4	0.310335	1.000000	0.469971
SRY	+	GATA4	0.038043	0.058989	0.003398
DKK1	+	GATA4	0.088951	0.097640	0.013153
WNT4	+	GATA4	0.113102	0.371710	0.063667
CBX2	-	GATA4	-0.066308	0.226239	-0.022718
AMH	+	GATA4	0.018846	0.084067	0.002399
NR0B1	+	GATA4	0.189391	0.998182	0.286291
NR5A1	+	GATA4	0.292866	1.000000	0.443516
WT1pKTS	+	GATA4	0.285233	0.999997	0.431955
FOXL2	+	GATA4	0.661552	0.998150	1.000000
UGR	+	GATA4	0.265095	1.000000	0.401460
SOX9	+	GATA4	0.252376	0.000000	0.000000
GATA4	+	GATA4	0.429943	1.000000	0.651104
