SourceGENES,TargetGENES,Interaction,Edges
PGD2,SOX9,0.0448033876342474,activation
WT1mKTS,PGD2,0.03981840581738,activation
FOXL2,NR0B1,0.0349384993152781,activation
GATA4,PGD2,0.0347413037029206,activation
GATA4,NR0B1,0.0343502689338934,activation
NR5A1,NR5A1,0.0342847300729036,activation
WT1mKTS,UGR,0.0342439505619339,activation
CBX2,CTNNB1,0.02839572007526,activation
PGD2,FGF9,0.0274905811365949,activation
WT1pKTS,NR5A1,0.0263640868551779,activation
FOXL2,WT1pKTS,0.0257206802822649,activation
WT1mKTS,AMH,0.0239936640522166,activation
WT1mKTS,NR0B1,0.0234700354103049,activation
PGD2,DHH,0.0217198113539924,activation
GATA4,FGF9,0.0211835218513941,repression
WT1pKTS,SOX9,0.0200208157313632,activation
NR5A1,RSPO1,0.0176533256723389,repression
PGD2,PGD2,0.0168444160548465,activation
NR5A1,GATA4,0.0158070275700828,activation
PGD2,AMH,0.015494590399864,activation
CTNNB1,SRY,0.0122170379749352,activation
CBX2,FOXL2,0.0116337750503375,repression
NR5A1,WNT4,0.00859306688708964,activation
CTNNB1,WNT4,0.00853033601484925,activation
AMH,SOX9,0.00813412746265182,activation
CTNNB1,CTNNB1,0.00756129557142882,activation
AMH,FGF9,0.00746270609739892,activation
AMH,DHH,0.00652088407043497,activation
CTNNB1,RSPO1,0.00648389211680459,activation
CTNNB1,UGR,0.0053649602899628,repression
AMH,FOXL2,0.00511544151423105,activation
CTNNB1,NR0B1,0.00498725232647723,repression
CTNNB1,DMRT1,0.00479805979655695,repression
NR5A1,SRY,0.00455073563758357,activation
CBX2,RSPO1,0.00382264470564333,repression
AMH,PGD2,0.00381819591148796,activation
CTNNB1,CBX2,0.002873818513654,activation
WT1pKTS,UGR,0.00265315290715917,activation
AMH,AMH,0.00256972667052566,activation
FOXL2,SRY,0.00253839642298782,activation
CTNNB1,DKK1,0.00235922467175927,activation
RSPO1,SRY,4.63767162564802e-36,activation
RSPO1,WNT4,4.09795747232195e-36,activation
DKK1,RSPO1,3.92172139132751e-36,repression
DMRT1,RSPO1,3.35223015967614e-36,activation
DKK1,CTNNB1,3.28590531396301e-36,activation
SOX9,DMRT1,2.74804157471176e-36,activation
SOX9,DKK1,2.6068270257674e-36,activation
DMRT1,CTNNB1,2.32924697665204e-36,repression
DMRT1,SRY,2.21305941815969e-36,activation
DMRT1,NR0B1,2.15799990178011e-36,activation
RSPO1,CTNNB1,1.96999131641362e-36,activation
RSPO1,UGR,1.73324404271861e-36,repression
DKK1,DMRT1,1.66103023587371e-36,activation
RSPO1,DMRT1,1.4337505439616e-36,activation
DMRT1,UGR,1.35815066718361e-36,repression
DKK1,NR0B1,1.26367074259324e-36,activation
DKK1,SRY,1.25169411127911e-36,activation
DKK1,UGR,1.18515607996601e-36,repression
DKK1,DKK1,1.08220060853925e-36,activation
DMRT1,DMRT1,1.03078673104581e-36,activation
RSPO1,CBX2,8.69200078445048e-37,repression
SOX9,FOXL2,8.0675598859201e-37,repression
RSPO1,NR0B1,7.18073530682526e-37,activation
SOX9,SRY,6.97796228240689e-37,activation
SOX9,CTNNB1,5.86748348989728e-37,activation
DKK1,CBX2,5.18209396395843e-37,repression
DMRT1,CBX2,4.70451298100133e-37,repression
DMRT1,DKK1,4.68862493644509e-37,activation
RSPO1,DKK1,2.47601889797339e-37,repression
DMRT1,WNT4,7.18114501512995e-38,repression
SOX9,DHH,3.53210882951902e-38,activation
DMRT1,FGF9,0,no regulation
DMRT1,DHH,0,no regulation
DMRT1,PGD2,0,no regulation
DMRT1,WT1mKTS,0,no regulation
DMRT1,AMH,0,no regulation
DMRT1,NR5A1,0,no regulation
DMRT1,WT1pKTS,0,no regulation
DMRT1,FOXL2,0,no regulation
DMRT1,SOX9,0,no regulation
DMRT1,GATA4,0,no regulation
FGF9,DMRT1,0,no regulation
FGF9,RSPO1,0,no regulation
FGF9,CTNNB1,0,no regulation
FGF9,WT1mKTS,0,no regulation
FGF9,SRY,0,no regulation
FGF9,DKK1,0,no regulation
FGF9,WNT4,0,no regulation
FGF9,CBX2,0,no regulation
FGF9,NR0B1,0,no regulation
FGF9,NR5A1,0,no regulation
FGF9,WT1pKTS,0,no regulation
FGF9,FOXL2,0,no regulation
FGF9,UGR,0,no regulation
FGF9,GATA4,0,no regulation
RSPO1,FGF9,0,no regulation
RSPO1,RSPO1,0,no regulation
RSPO1,DHH,0,no regulation
RSPO1,PGD2,0,no regulation
RSPO1,WT1mKTS,0,no regulation
RSPO1,AMH,0,no regulation
RSPO1,NR5A1,0,no regulation
RSPO1,WT1pKTS,0,no regulation
RSPO1,FOXL2,0,no regulation
RSPO1,SOX9,0,no regulation
RSPO1,GATA4,0,no regulation
DHH,DMRT1,0,no regulation
DHH,RSPO1,0,no regulation
DHH,CTNNB1,0,no regulation
DHH,WT1mKTS,0,no regulation
DHH,SRY,0,no regulation
DHH,DKK1,0,no regulation
DHH,WNT4,0,no regulation
DHH,CBX2,0,no regulation
DHH,NR0B1,0,no regulation
DHH,NR5A1,0,no regulation
DHH,WT1pKTS,0,no regulation
DHH,FOXL2,0,no regulation
DHH,UGR,0,no regulation
DHH,GATA4,0,no regulation
CTNNB1,FGF9,0,no regulation
CTNNB1,DHH,0,no regulation
CTNNB1,PGD2,0,no regulation
CTNNB1,WT1mKTS,0,no regulation
CTNNB1,AMH,0,no regulation
CTNNB1,NR5A1,0,no regulation
CTNNB1,WT1pKTS,0,no regulation
CTNNB1,FOXL2,0,no regulation
CTNNB1,SOX9,0,no regulation
CTNNB1,GATA4,0,no regulation
PGD2,DMRT1,0,no regulation
PGD2,RSPO1,0,no regulation
PGD2,CTNNB1,0,no regulation
PGD2,WT1mKTS,0,no regulation
PGD2,SRY,0,no regulation
PGD2,DKK1,0,no regulation
PGD2,WNT4,0,no regulation
PGD2,CBX2,0,no regulation
PGD2,NR0B1,0,no regulation
PGD2,NR5A1,0,no regulation
PGD2,WT1pKTS,0,no regulation
PGD2,FOXL2,0,no regulation
PGD2,UGR,0,no regulation
PGD2,GATA4,0,no regulation
WT1mKTS,DMRT1,0,no regulation
WT1mKTS,RSPO1,0,no regulation
WT1mKTS,CTNNB1,0,no regulation
WT1mKTS,SRY,0,no regulation
WT1mKTS,DKK1,0,no regulation
WT1mKTS,WNT4,0,no regulation
WT1mKTS,SOX9,0,no regulation
SRY,DMRT1,0,no regulation
SRY,RSPO1,0,no regulation
SRY,CTNNB1,0,no regulation
SRY,DKK1,0,no regulation
SRY,WNT4,0,no regulation
SRY,SOX9,0,no regulation
DKK1,FGF9,0,no regulation
DKK1,DHH,0,no regulation
DKK1,PGD2,0,no regulation
DKK1,WT1mKTS,0,no regulation
DKK1,WNT4,0,no regulation
DKK1,AMH,0,no regulation
DKK1,NR5A1,0,no regulation
DKK1,WT1pKTS,0,no regulation
DKK1,FOXL2,0,no regulation
DKK1,SOX9,0,no regulation
DKK1,GATA4,0,no regulation
WNT4,FGF9,0,no regulation
WNT4,RSPO1,0,no regulation
WNT4,DHH,0,no regulation
WNT4,PGD2,0,no regulation
WNT4,AMH,0,no regulation
WNT4,SOX9,0,no regulation
CBX2,DMRT1,0,no regulation
CBX2,FGF9,0,no regulation
CBX2,DHH,0,no regulation
CBX2,PGD2,0,no regulation
CBX2,DKK1,0,no regulation
CBX2,AMH,0,no regulation
CBX2,SOX9,0,no regulation
AMH,DMRT1,0,no regulation
AMH,RSPO1,0,no regulation
AMH,CTNNB1,0,no regulation
AMH,WT1mKTS,0,no regulation
AMH,SRY,0,no regulation
AMH,DKK1,0,no regulation
AMH,WNT4,0,no regulation
AMH,CBX2,0,no regulation
AMH,NR0B1,0,no regulation
AMH,NR5A1,0,no regulation
AMH,WT1pKTS,0,no regulation
AMH,UGR,0,no regulation
AMH,GATA4,0,no regulation
NR0B1,DMRT1,0,no regulation
NR0B1,RSPO1,0,no regulation
NR0B1,CTNNB1,0,no regulation
NR0B1,SRY,0,no regulation
NR0B1,DKK1,0,no regulation
NR5A1,FGF9,0,no regulation
NR5A1,DHH,0,no regulation
NR5A1,PGD2,0,no regulation
NR5A1,AMH,0,no regulation
NR5A1,NR0B1,0,no regulation
NR5A1,SOX9,0,no regulation
WT1pKTS,DMRT1,0,no regulation
WT1pKTS,RSPO1,0,no regulation
WT1pKTS,CTNNB1,0,no regulation
WT1pKTS,SRY,0,no regulation
WT1pKTS,DKK1,0,no regulation
WT1pKTS,WNT4,0,no regulation
WT1pKTS,CBX2,0,no regulation
FOXL2,DMRT1,0,no regulation
FOXL2,RSPO1,0,no regulation
FOXL2,CTNNB1,0,no regulation
FOXL2,WT1mKTS,0,no regulation
FOXL2,DKK1,0,no regulation
FOXL2,WNT4,0,no regulation
FOXL2,CBX2,0,no regulation
FOXL2,NR5A1,0,no regulation
FOXL2,UGR,0,no regulation
FOXL2,SOX9,0,no regulation
FOXL2,GATA4,0,no regulation
UGR,DMRT1,0,no regulation
UGR,FGF9,0,no regulation
UGR,RSPO1,0,no regulation
UGR,DHH,0,no regulation
UGR,CTNNB1,0,no regulation
UGR,PGD2,0,no regulation
UGR,DKK1,0,no regulation
UGR,AMH,0,no regulation
UGR,SOX9,0,no regulation
SOX9,FGF9,0,no regulation
SOX9,RSPO1,0,no regulation
SOX9,PGD2,0,no regulation
SOX9,WT1mKTS,0,no regulation
SOX9,WNT4,0,no regulation
SOX9,CBX2,0,no regulation
SOX9,AMH,0,no regulation
SOX9,NR0B1,0,no regulation
SOX9,NR5A1,0,no regulation
SOX9,WT1pKTS,0,no regulation
SOX9,UGR,0,no regulation
SOX9,SOX9,0,no regulation
SOX9,GATA4,0,no regulation
GATA4,DMRT1,0,no regulation
GATA4,RSPO1,0,no regulation
GATA4,CTNNB1,0,no regulation
GATA4,SRY,0,no regulation
GATA4,DKK1,0,no regulation
GATA4,WNT4,0,no regulation
GATA4,SOX9,0,no regulation
