Gene1	Gene2	corVal
SOX9	PGD2	0.195659818510178
DKK1	SOX9	0.192113799363153
WNT4	CBX2	0.189873783528187
FOXL2	NR0B1	0.188461971724193
GATA4	FOXL2	0.18753852978654
DMRT1	SOX9	0.184904566852872
CBX2	WT1mKTS	0.177737213743618
SRY	WT1pKTS	0.174036406866732
SOX9	AMH	0.173355492026071
FGF9	SOX9	0.172754856462639
WT1pKTS	WT1mKTS	0.170027667083521
DHH	SOX9	0.166474784992371
SOX9	DKK1	0.165078481461927
FOXL2	SOX9	0.16420061817398
NR0B1	WT1mKTS	0.163473427976049
SOX9	DMRT1	0.160860294132204
CBX2	SRY	0.160304150314657
PGD2	SOX9	0.15884612973471
FOXL2	WT1mKTS	0.156234869127848
FOXL2	CBX2	0.153785195824605
GATA4	WT1pKTS	0.152617995867183
WT1mKTS	SRY	0.150985028935652
CTNNB1	NR0B1	0.147330866535474
WT1pKTS	RSPO1	0.146326918388999
SOX9	CTNNB1	0.14208615365997
SRY	WNT4	0.139638148097199
NR5A1	FGF9	0.138736929298374
NR5A1	DHH	0.137662822130814
NR5A1	PGD2	0.132911671843622
NR5A1	NR0B1	0.132496912293045
WT1mKTS	DKK1	0.132396031409424
SOX9	FOXL2	0.132297269327622
WT1mKTS	DMRT1	0.131481099256123
CBX2	GATA4	0.129242606237513
WT1pKTS	DMRT1	0.129028455620039
NR0B1	CTNNB1	0.128408732975018
FOXL2	GATA4	0.125407732171457
AMH	SOX9	0.123057761375313
DMRT1	NR0B1	0.122993821622878
WT1mKTS	NR5A1	0.122674461131915
NR0B1	FOXL2	0.121309302665349
WT1mKTS	UGR	0.1206309872638
NR0B1	NR5A1	0.119272366517035
WT1pKTS	UGR	0.118633860989575
WNT4	SRY	0.117645524628093
DKK1	NR0B1	0.117074849751465
WT1pKTS	DKK1	0.116320748474366
WT1pKTS	GATA4	0.114116481513948
NR5A1	AMH	0.110497179216113
NR5A1	GATA4	0.109155076355262
FOXL2	RSPO1	0.108880443321676
WT1mKTS	FGF9	0.104313359657998
GATA4	DMRT1	0.101256535367575
NR0B1	DMRT1	0.100631723307213
WT1mKTS	DHH	0.0998289072804568
GATA4	DKK1	0.0990183219384001
NR0B1	DKK1	0.0949823296875448
RSPO1	FOXL2	0.0941218817185645
DMRT1	WT1pKTS	0.0926740311439405
DKK1	WT1pKTS	0.0906896165198719
WT1mKTS	PGD2	0.0889498910628384
NR0B1	GATA4	0.0873395980747292
RSPO1	WT1pKTS	0.0855072837794401
SRY	SOX9	0.0841105530273253
WT1mKTS	WNT4	0.0828325615328929
CTNNB1	SOX9	0.0796637424250319
FGF9	RSPO1	0.0786063343971484
CTNNB1	WT1mKTS	0.0769609545629764
FGF9	NR5A1	0.0768196696273463
DHH	RSPO1	0.0731748438120236
RSPO1	FGF9	0.0726472653359587
DHH	NR5A1	0.0725059387910905
UGR	WT1pKTS	0.07236211588329
RSPO1	AMH	0.0717053535782406
AMH	WNT4	0.0714790239620649
RSPO1	DHH	0.0709714966363533
FGF9	CTNNB1	0.0708053475747324
SOX9	SRY	0.0707296546733552
WNT4	GATA4	0.0679066044253427
PGD2	RSPO1	0.0668958335007784
CTNNB1	GATA4	0.0659531698942562
DHH	CTNNB1	0.0656039565477834
PGD2	NR5A1	0.0653002998609425
RSPO1	PGD2	0.0652353824478165
AMH	RSPO1	0.0639307466468706
WT1mKTS	AMH	0.0629096161667848
DKK1	GATA4	0.06103809375928
GATA4	FGF9	0.0603210802254561
GATA4	DHH	0.0602329935569848
FGF9	WNT4	0.0599686222600429
PGD2	CTNNB1	0.0594967275405636
NR5A1	SRY	0.0593356508739662
CTNNB1	FGF9	0.0586350372693641
SRY	FGF9	0.0580279556174692
DHH	WNT4	0.0578787242718056
FGF9	SRY	0.0564199089663129
CTNNB1	DHH	0.0562000808968157
FOXL2	FGF9	0.0561236047693136
NR5A1	WT1mKTS	0.0557168984355284
FOXL2	DHH	0.0556950010135386
SRY	DHH	0.0538702522636869
CTNNB1	PGD2	0.053515008655983
DHH	SRY	0.0532643663211173
PGD2	WNT4	0.0532421629151027
GATA4	PGD2	0.0519420003245953
DMRT1	WT1mKTS	0.051855265353426
DKK1	WT1mKTS	0.049900558035863
RSPO1	GATA4	0.0495206895698157
NR0B1	SOX9	0.0494100393753919
FOXL2	PGD2	0.0493045494619753
CTNNB1	AMH	0.0484753088473143
SRY	PGD2	0.0484472580997381
PGD2	SRY	0.0477682917449999
DKK1	PGD2	0.0460012051146277
WNT4	AMH	0.0454359859960817
DKK1	DHH	0.0446713600319873
DKK1	FGF9	0.0443636105543503
DMRT1	DHH	0.0442874225495895
DMRT1	FGF9	0.0440754886034287
DMRT1	GATA4	0.0437529284169164
FGF9	FOXL2	0.0434666818415373
AMH	CTNNB1	0.0429340640377334
DMRT1	PGD2	0.0426841542828617
DHH	FOXL2	0.041928286422345
CBX2	FOXL2	0.0415884317576174
SRY	AMH	0.0409886727567192
RSPO1	WT1mKTS	0.039392729366835
SRY	NR5A1	0.0390635053877296
FGF9	DKK1	0.0390420804797934
PGD2	DKK1	0.0389875317031514
AMH	SRY	0.0388968664660439
DHH	DKK1	0.0388324546929118
FGF9	DMRT1	0.0383134888051705
AMH	NR5A1	0.0379665668678093
DHH	DMRT1	0.0378593532567905
GATA4	AMH	0.0369480951345192
WNT4	FGF9	0.0369405194491402
PGD2	DMRT1	0.0368337441281353
DMRT1	RSPO1	0.0366548507074942
WNT4	DHH	0.0364912958216287
PGD2	FOXL2	0.035751338119353
FOXL2	AMH	0.0339083045358808
WNT4	WT1mKTS	0.0331483377010403
DKK1	RSPO1	0.0317532572452935
GATA4	UGR	0.0302982812279212
DKK1	AMH	0.0300961554780799
UGR	WT1mKTS	0.0299223403639106
DMRT1	AMH	0.0298298505822691
WNT4	PGD2	0.028305622846749
DKK1	UGR	0.0270637098361742
AMH	DKK1	0.0265856093259192
AMH	WT1mKTS	0.0264114995475143
AMH	DMRT1	0.0254972730288537
AMH	GATA4	0.023098083780846
DMRT1	UGR	0.0226756948629231
AMH	FOXL2	0.0225915552419666
CBX2	WT1pKTS	0.0224062296681798
SOX9	WT1mKTS	0.0203258008518714
PGD2	WT1mKTS	0.0167959267191642
NR0B1	WT1pKTS	0.0153587035137382
FGF9	CBX2	0.014312909432703
WT1pKTS	NR0B1	0.013058482672144
AMH	WT1pKTS	0.0116355288692912
DHH	CBX2	0.0105142929269467
CTNNB1	UGR	0.00972927961346606
WT1pKTS	CBX2	0.00947033876744584
PGD2	WT1pKTS	0.00922770247933531
FGF9	WT1pKTS	0.00900132586581366
DHH	WT1pKTS	0.00803037445523459
DHH	WT1mKTS	0.00669194418093385
FGF9	WT1mKTS	0.00565620637906563
WT1pKTS	AMH	0.00541731380467007
SRY	GATA4	0.00339614691685798
PGD2	CBX2	-0.000195808094796554
PGD2	GATA4	-0.000540560375729146
DHH	GATA4	-0.00164154837839115
SOX9	GATA4	-0.00201452110388751
AMH	CBX2	-0.00345939580640004
UGR	GATA4	-0.00523893548085367
WT1pKTS	PGD2	-0.00568776109001822
WT1pKTS	DHH	-0.00899795846618042
WT1pKTS	FGF9	-0.0101946234680638
RSPO1	DMRT1	-0.0136371877063166
SOX9	UGR	-0.0155670245882418
FOXL2	SRY	-0.0162737106395779
RSPO1	DKK1	-0.016654036394392
RSPO1	UGR	-0.0177221483184191
FGF9	GATA4	-0.0219895117432975
WNT4	FOXL2	-0.0246599527088601
SOX9	WT1pKTS	-0.0293023597874728
FOXL2	WNT4	-0.0350938414077692
SRY	WT1mKTS	-0.0387046384999363
DMRT1	FOXL2	-0.0391178854440276
SRY	FOXL2	-0.0418042652577472
UGR	CTNNB1	-0.0428457929033431
DKK1	FOXL2	-0.0447747783390957
FGF9	UGR	-0.0478502377785376
WNT4	NR5A1	-0.0495187690626029
CTNNB1	NR5A1	-0.0497811681686311
DHH	UGR	-0.0504144176961039
PGD2	UGR	-0.053801806895169
FOXL2	UGR	-0.0578538447903389
FOXL2	DMRT1	-0.0604305428654087
UGR	DKK1	-0.0611111442081583
UGR	AMH	-0.063845748925605
CBX2	AMH	-0.0639218459587342
AMH	UGR	-0.0651283410997491
UGR	FOXL2	-0.0663117054863003
CBX2	DHH	-0.0671526624252413
UGR	PGD2	-0.0685777061915741
CBX2	FGF9	-0.0692292773455851
UGR	DHH	-0.0696068122934942
UGR	FGF9	-0.0697614775748369
UGR	DMRT1	-0.0707651937538589
FOXL2	DKK1	-0.0727403728046865
WT1pKTS	SOX9	-0.0731536313465949
CBX2	PGD2	-0.0742189247602039
NR5A1	WNT4	-0.0791668520544649
UGR	RSPO1	-0.0899661366398389
RSPO1	CBX2	-0.0958746227744411
RSPO1	SRY	-0.0980451939694427
NR0B1	CBX2	-0.098766336403692
SRY	RSPO1	-0.102214248735098
NR5A1	CTNNB1	-0.122261870001669
UGR	SOX9	-0.127032454799831
DMRT1	CBX2	-0.128843586421735
CBX2	RSPO1	-0.131442102190154
SOX9	RSPO1	-0.131523214989093
CTNNB1	WT1pKTS	-0.134276324111716
DKK1	CBX2	-0.144013897561802
CTNNB1	DKK1	-0.145802016883208
CTNNB1	DMRT1	-0.145957585402484
RSPO1	SOX9	-0.151886310176054
DKK1	CTNNB1	-0.16032569503829
DMRT1	CTNNB1	-0.167136470978723
FOXL2	NR5A1	-0.170586400668191
WT1pKTS	CTNNB1	-0.184352410231496
CBX2	NR0B1	-0.193174063530181
CBX2	DMRT1	-0.19485630516824
NR5A1	FOXL2	-0.197479694187109
SOX9	CBX2	-0.207907906687376
CBX2	DKK1	-0.215860431394197
FGF9	NR0B1	-0.241659953175061
NR5A1	UGR	-0.242717533524931
DHH	NR0B1	-0.247507329789038
CTNNB1	CBX2	-0.255213823656436
PGD2	NR0B1	-0.255909454260664
CBX2	SOX9	-0.273019744808191
UGR	NR5A1	-0.274899054285816
DMRT1	WNT4	-0.276676940453754
NR0B1	FGF9	-0.278307192865801
NR0B1	PGD2	-0.281186946990003
NR0B1	DHH	-0.281191470461907
DKK1	WNT4	-0.282121181047163
DKK1	NR5A1	-0.284029456316157
WNT4	DMRT1	-0.294189929539209
WNT4	DKK1	-0.298454022923957
AMH	NR0B1	-0.300232711503259
CTNNB1	SRY	-0.301454340534302
NR5A1	DKK1	-0.301556258821553
NR0B1	AMH	-0.304975070737818
DMRT1	NR5A1	-0.305326542510357
NR5A1	DMRT1	-0.323733310854337
WNT4	SOX9	-0.326349304129626
SRY	UGR	-0.338092052196608
SRY	CTNNB1	-0.346406860186203
NR0B1	UGR	-0.36291097000392
UGR	SRY	-0.376688790186276
CBX2	CTNNB1	-0.384824498855699
SOX9	WNT4	-0.385505094541097
UGR	NR0B1	-0.43730294651059
WNT4	UGR	-0.484527364308625
RSPO1	NR5A1	-0.516700987617621
UGR	WNT4	-0.589762344878157
NR5A1	RSPO1	-0.603463910161952
FOXL2	WT1pKTS	-0.976382423888176
WT1pKTS	FOXL2	-1
