Gene1	Gene2	corVal	pValue
NR5A1	DHH	0.0975627503852236	1.3477672477218e-05
DHH	NR5A1	0.0975627503852236	1.34776724772181e-05
CBX2	WNT4	0.0933093870558419	3.16009226722705e-05
WNT4	CBX2	0.0933093870558418	3.16009226722712e-05
WNT4	GATA4	0.0918130058536677	4.2292093551378e-05
GATA4	WNT4	0.0918130058536676	4.2292093551378e-05
SOX9	FGF9	0.0911527334462339	4.80288523112806e-05
FGF9	SOX9	0.0911527334462339	4.80288523112809e-05
WT1pKTS	DKK1	0.0871989319184863	0.000101071546971669
DKK1	WT1pKTS	0.0871989319184861	0.000101071546971672
CTNNB1	FGF9	0.0815964204869209	0.000275472111340653
FGF9	CTNNB1	0.0815964204869208	0.000275472111340657
WT1mKTS	FOXL2	0.0812595767255559	0.000292028115509518
FOXL2	WT1mKTS	0.0812595767255559	0.000292028115509519
FOXL2	NR0B1	0.078854681111259	0.000440203398474836
NR0B1	FOXL2	0.0788546811112589	0.000440203398474845
WNT4	WT1pKTS	0.0747787626528112	0.00086059690492205
WT1pKTS	WNT4	0.0747787626528109	0.000860596904922079
NR0B1	WT1pKTS	0.0728111005009396	0.00117613367614321
WT1pKTS	NR0B1	0.0728111005009396	0.00117613367614322
NR5A1	PGD2	0.0679755639762895	0.00245684049200106
PGD2	NR5A1	0.0679755639762894	0.0024568404920011
WNT4	WT1mKTS	0.0661614380098658	0.00320251359225145
WT1mKTS	WNT4	0.0661614380098658	0.00320251359225145
FOXL2	FGF9	0.0659100542087964	0.00332071785431453
FGF9	FOXL2	0.0659100542087963	0.00332071785431457
AMH	DKK1	0.0631426308893066	0.00491073689765735
DKK1	AMH	0.0631426308893066	0.00491073689765736
PGD2	FOXL2	0.0629648628304992	0.00503327084440327
FOXL2	PGD2	0.0629648628304992	0.00503327084440331
SRY	FGF9	0.0629170922771027	0.00506666618193464
FGF9	SRY	0.0629170922771027	0.00506666618193464
DMRT1	FGF9	0.0628539117428238	0.00511114168516693
FGF9	DMRT1	0.0628539117428238	0.00511114168516695
WT1mKTS	WT1pKTS	0.0601785206814283	0.00735028675589542
WT1pKTS	WT1mKTS	0.0601785206814282	0.00735028675589551
RSPO1	DMRT1	0.0566729519672414	0.0115983594120464
DMRT1	RSPO1	0.0566729519672414	0.0115983594120464
GATA4	WT1pKTS	0.0560937011430217	0.0124792503096561
WT1pKTS	GATA4	0.0560937011430216	0.0124792503096562
GATA4	CTNNB1	0.0557543915057756	0.0130223071456883
CTNNB1	GATA4	0.0557543915057756	0.0130223071456884
AMH	NR5A1	0.0538814434489398	0.0164121523996263
NR5A1	AMH	0.0538814434489397	0.0164121523996263
DKK1	DHH	0.0538100397605979	0.0165554645115176
DHH	DKK1	0.0538100397605979	0.0165554645115177
GATA4	NR0B1	0.0511560591558836	0.0227218137729934
NR0B1	GATA4	0.0511560591558835	0.0227218137729934
DHH	WT1mKTS	0.0491942775492881	0.0284800325799083
WT1mKTS	DHH	0.0491942775492881	0.0284800325799084
AMH	WT1mKTS	0.0485106767306077	0.0307623603098512
WT1mKTS	AMH	0.0485106767306076	0.0307623603098513
UGR	WT1pKTS	0.0480169366262752	0.0325068511018623
WT1pKTS	UGR	0.0480169366262752	0.0325068511018624
GATA4	FOXL2	0.0471353734212839	0.0358324962976395
FOXL2	GATA4	0.0471353734212839	0.0358324962976395
RSPO1	WT1mKTS	0.046426750332429	0.0387119656987238
WT1mKTS	RSPO1	0.0464267503324289	0.0387119656987243
WNT4	SRY	0.0464146565913836	0.0387627655244666
SRY	WNT4	0.0464146565913836	0.0387627655244666
RSPO1	GATA4	0.0444543880358241	0.0477795781126395
GATA4	RSPO1	0.0444543880358241	0.0477795781126396
WT1pKTS	CBX2	0.0440823664015883	0.0496760128231546
CBX2	WT1pKTS	0.0440823664015881	0.049676012823156
DMRT1	WT1mKTS	0.0440297968565208	0.0499490133836257
WT1mKTS	DMRT1	0.0440297968565207	0.0499490133836259
SRY	WT1mKTS	0.0434303095705896	0.0531520952198978
WT1mKTS	SRY	0.0434303095705896	0.053152095219898
SOX9	WT1mKTS	0.0400250025568299	0.0747591635942888
WT1mKTS	SOX9	0.0400250025568299	0.0747591635942889
AMH	DMRT1	0.0383997503016971	0.0873533254606971
DMRT1	AMH	0.0383997503016971	0.0873533254606976
AMH	GATA4	0.037754480393975	0.0928057182454098
GATA4	AMH	0.0377544803939749	0.0928057182454099
DMRT1	PGD2	0.0358845432096193	0.110159314230602
PGD2	DMRT1	0.0358845432096193	0.110159314230602
NR0B1	DMRT1	0.0332491018440323	0.138849854710298
DMRT1	NR0B1	0.0332491018440321	0.1388498547103
FGF9	GATA4	0.0331738838940321	0.139746022208464
GATA4	FGF9	0.0331738838940321	0.139746022208465
PGD2	SRY	0.0318951870339797	0.155669803635327
SRY	PGD2	0.0318951870339796	0.155669803635328
DMRT1	DHH	0.0306839702649142	0.171987783137964
DHH	DMRT1	0.0306839702649142	0.171987783137964
FOXL2	AMH	0.0300906219357985	0.180433817776336
AMH	FOXL2	0.0300906219357985	0.180433817776336
DHH	CTNNB1	0.0293303834282511	0.191700414588869
CTNNB1	DHH	0.0293303834282511	0.19170041458887
DKK1	PGD2	0.0284275905459978	0.20574110164832
PGD2	DKK1	0.0284275905459977	0.205741101648321
SRY	AMH	0.0265010233572764	0.238168433984299
AMH	SRY	0.0265010233572763	0.2381684339843
SOX9	GATA4	0.0230912657333959	0.304061215554365
GATA4	SOX9	0.0230912657333959	0.304061215554366
NR5A1	WNT4	0.0228499030720078	0.309145027102463
WNT4	NR5A1	0.0228499030720076	0.309145027102466
FGF9	WT1mKTS	0.022588524797172	0.314713382033232
WT1mKTS	FGF9	0.022588524797172	0.314713382033232
NR5A1	GATA4	0.0215424488623424	0.337654087360856
GATA4	NR5A1	0.0215424488623424	0.337654087360856
CTNNB1	AMH	0.0189283532350171	0.399541504536414
AMH	CTNNB1	0.0189283532350171	0.399541504536414
GATA4	PGD2	0.017948991395009	0.424380354245181
PGD2	GATA4	0.017948991395009	0.424380354245181
WT1mKTS	DKK1	0.0175839532864807	0.433864492762395
DKK1	WT1mKTS	0.0175839532864806	0.433864492762395
SOX9	AMH	0.0163353772609334	0.46721450635402
AMH	SOX9	0.0163353772609333	0.467214506354023
CTNNB1	SOX9	0.0141683651302923	0.52832583720248
SOX9	CTNNB1	0.0141683651302922	0.528325837202483
PGD2	WT1mKTS	0.0139736669280503	0.534009071626013
WT1mKTS	PGD2	0.0139736669280503	0.534009071626014
FGF9	DKK1	0.0120288552199306	0.592416693262998
DKK1	FGF9	0.0120288552199305	0.592416693263
NR0B1	DKK1	0.0115843631389897	0.606165941549706
DKK1	NR0B1	0.0115843631389896	0.606165941549707
NR5A1	WT1mKTS	0.0115345169355455	0.607716664752528
WT1mKTS	NR5A1	0.0115345169355455	0.607716664752529
GATA4	DKK1	0.0102937592222509	0.646871013036724
DKK1	GATA4	0.0102937592222508	0.646871013036725
FOXL2	WNT4	0.00953787565270513	0.671221680695162
WNT4	FOXL2	0.00953787565270511	0.671221680695163
PGD2	WT1pKTS	0.00831338767925043	0.711400743881199
WT1pKTS	PGD2	0.00831338767925039	0.7114007438812
GATA4	DHH	0.00756747715889548	0.736283642742601
DHH	GATA4	0.00756747715889545	0.736283642742602
WT1pKTS	RSPO1	0.00705898607813502	0.753408158453311
RSPO1	WT1pKTS	0.00705898607813471	0.753408158453321
WT1mKTS	CTNNB1	0.00606275945985354	0.787304652350456
CTNNB1	WT1mKTS	0.00606275945985351	0.787304652350457
FOXL2	SOX9	0.00511337945276741	0.819987355510814
SOX9	FOXL2	0.00511337945276739	0.819987355510815
GATA4	CBX2	-0.0028650440625599	0.898542479271293
CBX2	GATA4	-0.00286504406255991	0.898542479271292
WT1mKTS	UGR	-0.00401800858362202	0.858084228881926
UGR	WT1mKTS	-0.00401800858362204	0.858084228881925
NR0B1	CBX2	-0.00459408533028249	0.83800124859907
CBX2	NR0B1	-0.00459408533028249	0.83800124859907
PGD2	CTNNB1	-0.00768743978916225	0.732262299465593
CTNNB1	PGD2	-0.00768743978916227	0.732262299465593
UGR	NR5A1	-0.00987250549032946	0.66039712719662
NR5A1	UGR	-0.00987250549032947	0.66039712719662
RSPO1	AMH	-0.0101256113086576	0.652256454665267
AMH	RSPO1	-0.0101256113086576	0.652256454665264
NR0B1	SOX9	-0.0115227654472329	0.608082512809795
SOX9	NR0B1	-0.0115227654472329	0.608082512809794
DHH	SRY	-0.0118596535063419	0.597633671091526
SRY	DHH	-0.0118596535063419	0.597633671091524
WT1pKTS	DHH	-0.0129090063921785	0.565622065546842
DHH	WT1pKTS	-0.0129090063921786	0.56562206554684
RSPO1	DKK1	-0.0137545697931628	0.540441194232382
DKK1	RSPO1	-0.0137545697931629	0.540441194232381
RSPO1	PGD2	-0.0139576857593908	0.534476927839046
PGD2	RSPO1	-0.0139576857593908	0.534476927839045
UGR	FOXL2	-0.0144866410424199	0.519102134047391
FOXL2	UGR	-0.0144866410424199	0.519102134047391
AMH	WT1pKTS	-0.0145298368788934	0.517856743804219
WT1pKTS	AMH	-0.0145298368788934	0.517856743804218
SOX9	RSPO1	-0.0159722643513166	0.477173485511176
RSPO1	SOX9	-0.0159722643513167	0.477173485511174
DKK1	CTNNB1	-0.0166653752952155	0.458264556747788
CTNNB1	DKK1	-0.0166653752952156	0.458264556747785
UGR	FGF9	-0.01961794921616	0.382587928190049
FGF9	UGR	-0.01961794921616	0.382587928190048
UGR	WNT4	-0.0222111885612891	0.322867576893568
WNT4	UGR	-0.0222111885612891	0.322867576893567
DHH	WNT4	-0.022449061584135	0.31771126917327
WNT4	DHH	-0.022449061584135	0.31771126917327
CBX2	WT1mKTS	-0.0232298155627954	0.301168154616577
WT1mKTS	CBX2	-0.0232298155627954	0.301168154616577
SOX9	WT1pKTS	-0.0243526164804788	0.27840000767551
WT1pKTS	SOX9	-0.0243526164804788	0.27840000767551
FOXL2	DMRT1	-0.0247097948989062	0.271409155073177
DMRT1	FOXL2	-0.0247097948989062	0.271409155073176
CBX2	SRY	-0.0284651905609381	0.205141814545443
SRY	CBX2	-0.0284651905609382	0.205141814545442
DMRT1	GATA4	-0.0377069643392204	0.0932177769332451
GATA4	DMRT1	-0.0377069643392205	0.0932177769332449
GATA4	UGR	-0.0393728674205034	0.0796221096880626
UGR	GATA4	-0.0393728674205034	0.0796221096880625
FGF9	RSPO1	-0.0406919908770758	0.0700390153182647
RSPO1	FGF9	-0.040691990877076	0.0700390153182636
AMH	WNT4	-0.0411952265335574	0.0666418419018643
WNT4	AMH	-0.0411952265335574	0.0666418419018643
WNT4	PGD2	-0.043881121716389	0.0507279152011716
PGD2	WNT4	-0.0438811217163891	0.0507279152011711
DKK1	UGR	-0.0476317357113111	0.0339260181735
UGR	DKK1	-0.0476317357113111	0.0339260181735
DMRT1	CBX2	-0.0509102158433581	0.0233830290108752
CBX2	DMRT1	-0.0509102158433581	0.0233830290108752
AMH	CBX2	-0.0520319466270278	0.0204962465891308
CBX2	AMH	-0.0520319466270278	0.0204962465891308
UGR	SOX9	-0.052383818787144	0.0196571312960851
SOX9	UGR	-0.052383818787144	0.019657131296085
UGR	DHH	-0.0530951263739473	0.0180519799802741
DHH	UGR	-0.0530951263739473	0.0180519799802741
UGR	AMH	-0.0533076283304647	0.017595250662258
AMH	UGR	-0.0533076283304647	0.0175952506622579
WT1pKTS	FGF9	-0.0561889866301611	0.0123303970350006
FGF9	WT1pKTS	-0.0561889866301612	0.0123303970350005
DKK1	WNT4	-0.0563133937948748	0.0121384170386908
WNT4	DKK1	-0.0563133937948748	0.0121384170386908
CBX2	DHH	-0.0566175816961934	0.011680112649061
DHH	CBX2	-0.0566175816961934	0.011680112649061
RSPO1	DHH	-0.0569678524238247	0.0111714331680275
DHH	RSPO1	-0.0569678524238248	0.0111714331680274
SRY	RSPO1	-0.0594232435496038	0.00812476925175324
RSPO1	SRY	-0.0594232435496039	0.00812476925175324
NR5A1	CTNNB1	-0.0688623363077129	0.00215345215987078
CTNNB1	NR5A1	-0.0688623363077131	0.0021534521598707
FOXL2	CBX2	-0.0752282093526518	0.000800510846937472
CBX2	FOXL2	-0.0752282093526519	0.00080051084693746
WNT4	SOX9	-0.077161191039112	0.000583828897264699
SOX9	WNT4	-0.0771611910391121	0.000583828897264694
FOXL2	SRY	-0.0777649329435753	0.000528248408634398
SRY	FOXL2	-0.0777649329435754	0.000528248408634393
FOXL2	DKK1	-0.0780924991054881	0.000500195015124538
DKK1	FOXL2	-0.0780924991054882	0.000500195015124533
UGR	PGD2	-0.0826107603850802	0.000230770389363128
PGD2	UGR	-0.0826107603850802	0.000230770389363126
CTNNB1	SRY	-0.0885094225766205	7.924714780932e-05
SRY	CTNNB1	-0.0885094225766206	7.92471478093188e-05
CBX2	PGD2	-0.0897574677217422	6.26659677652168e-05
PGD2	CBX2	-0.0897574677217422	6.26659677652168e-05
FGF9	CBX2	-0.0908917719216971	5.04934163874326e-05
CBX2	FGF9	-0.0908917719216972	5.04934163874322e-05
CTNNB1	CBX2	-0.091091893876578	4.8593030163732e-05
CBX2	CTNNB1	-0.0910918938765781	4.85930301637312e-05
DKK1	NR5A1	-0.0938486101535422	2.84204008753091e-05
NR5A1	DKK1	-0.0938486101535423	2.84204008753089e-05
FGF9	WNT4	-0.0979849328058735	1.23607075076554e-05
WNT4	FGF9	-0.0979849328058736	1.23607075076551e-05
SOX9	CBX2	-0.0985641284517631	1.09711445729811e-05
CBX2	SOX9	-0.0985641284517632	1.09711445729811e-05
DMRT1	WNT4	-0.0993030850319874	9.41369848681775e-06
WNT4	DMRT1	-0.0993030850319876	9.41369848681744e-06
CTNNB1	WT1pKTS	-0.100589114179373	7.19338547001194e-06
WT1pKTS	CTNNB1	-0.100589114179373	7.19338547001184e-06
NR5A1	NR0B1	-0.101180989087271	6.34879791229659e-06
NR0B1	NR5A1	-0.101180989087271	6.34879791229659e-06
NR0B1	FGF9	-0.102921868508917	4.37940972094947e-06
FGF9	NR0B1	-0.102921868508917	4.37940972094947e-06
UGR	DMRT1	-0.103189261588822	4.13441940759443e-06
DMRT1	UGR	-0.103189261588822	4.13441940759437e-06
NR0B1	PGD2	-0.103377828797363	3.96960088235224e-06
PGD2	NR0B1	-0.103377828797363	3.96960088235218e-06
DHH	NR0B1	-0.103736017969001	3.6736915196829e-06
NR0B1	DHH	-0.103736017969001	3.67369151968286e-06
CTNNB1	DMRT1	-0.107003981479078	1.79088031739247e-06
DMRT1	CTNNB1	-0.107003981479078	1.7908803173924e-06
FOXL2	NR5A1	-0.110983711745532	7.25541455262616e-07
NR5A1	FOXL2	-0.110983711745532	7.25541455262583e-07
SRY	UGR	-0.113242177568433	4.28442908040053e-07
UGR	SRY	-0.113242177568434	4.28442908040047e-07
RSPO1	UGR	-0.115216485172965	2.68094229654923e-07
UGR	RSPO1	-0.115216485172965	2.6809422965492e-07
CBX2	RSPO1	-0.115522677911266	2.49119409875964e-07
RSPO1	CBX2	-0.115522677911266	2.49119409875961e-07
AMH	NR0B1	-0.117067449857575	1.71525157418469e-07
NR0B1	AMH	-0.117067449857576	1.71525157418465e-07
NR5A1	DMRT1	-0.118990617570005	1.07064058535805e-07
DMRT1	NR5A1	-0.118990617570005	1.07064058535802e-07
CBX2	DKK1	-0.123493286521197	3.44977580712337e-08
DKK1	CBX2	-0.123493286521197	3.44977580712334e-08
CTNNB1	UGR	-0.143728894606052	1.27814157372562e-10
UGR	CTNNB1	-0.143728894606053	1.27814157372561e-10
UGR	NR0B1	-0.147429010804015	4.19322996916824e-11
NR0B1	UGR	-0.147429010804015	4.19322996916812e-11
RSPO1	NR5A1	-0.217976912867645	9.33730752935915e-23
NR5A1	RSPO1	-0.217976912867646	9.33730752935841e-23
WT1pKTS	FOXL2	-0.291150477878679	4.82347242576344e-40
FOXL2	WT1pKTS	-0.29115047787868	4.82347242576254e-40
