Gene1	Gene2	EdgeWeight
WNT4	NR0B1	170
WT1mKTS	UGR	169
WT1pKTS	WNT4	168
SOX9	UGR	167
UGR	WT1mKTS	166
RSPO1	CTNNB1	165
GATA4	GATA4	164
CTNNB1	GATA4	163
GATA4	WNT4	162
WT1mKTS	FOXL2	161
RSPO1	NR0B1	160
RSPO1	WNT4	159
NR0B1	GATA4	158
SOX9	NR0B1	157
DMRT1	NR0B1	156
WT1pKTS	GATA4	155
NR5A1	WT1mKTS	154
WNT4	WT1mKTS	153
DKK1	GATA4	152
WNT4	FOXL2	151
NR5A1	WNT4	150
CTNNB1	CTNNB1	149
FOXL2	CBX2	148
CTNNB1	UGR	147
FOXL2	UGR	146
DKK1	NR0B1	145
DKK1	WT1mKTS	144
UGR	WT1pKTS	143
GATA4	NR5A1	142
DMRT1	WT1mKTS	141
NR0B1	NR0B1	140
PGD2	SRY	139
RSPO1	WT1mKTS	138
CBX2	WT1mKTS	137
CBX2	FOXL2	136
WT1pKTS	WT1mKTS	135
UGR	FOXL2	134
RSPO1	DMRT1	133
AMH	AMH	132
SRY	DKK1	131
SRY	DMRT1	130
CTNNB1	DKK1	129
SRY	WT1mKTS	128
DKK1	SOX9	127
WNT4	DMRT1	126
UGR	DMRT1	125
DMRT1	SOX9	124
FGF9	SOX9	123
FGF9	FGF9	122
FOXL2	DMRT1	121
SOX9	DMRT1	120
DMRT1	DKK1	119
WT1mKTS	FGF9	118
SOX9	SOX9	117
RSPO1	DKK1	116
CTNNB1	DMRT1	115
DMRT1	DMRT1	114
DKK1	DMRT1	113
SOX9	DKK1	112
DKK1	DKK1	111
WT1mKTS	DMRT1	110
NR5A1	DKK1	109
WNT4	DKK1	108
DHH	DHH	107
UGR	DKK1	106
WT1mKTS	DKK1	105
NR5A1	FGF9	104
AMH	DMRT1	103
AMH	FGF9	102
PGD2	DKK1	101
FGF9	PGD2	100
NR0B1	DMRT1	99
NR5A1	DMRT1	98
FGF9	DMRT1	97
NR0B1	DKK1	96
FOXL2	DKK1	95
DHH	SOX9	94
WT1mKTS	DHH	93
PGD2	SOX9	92
CBX2	DMRT1	91
WT1mKTS	AMH	90
GATA4	DMRT1	89
DHH	DKK1	88
DHH	AMH	87
FGF9	DKK1	86
PGD2	DMRT1	85
DHH	DMRT1	84
AMH	DHH	83
AMH	SOX9	82
GATA4	AMH	81
WT1pKTS	FGF9	80
WT1pKTS	DKK1	79
CBX2	FGF9	78
CBX2	DKK1	77
NR5A1	AMH	76
FOXL2	SOX9	75
PGD2	FGF9	74
GATA4	FGF9	73
FOXL2	DHH	72
FGF9	DHH	71
WNT4	SOX9	70
AMH	PGD2	69
WT1pKTS	DMRT1	68
AMH	DKK1	67
GATA4	DKK1	66
UGR	AMH	65
WT1pKTS	AMH	64
CBX2	AMH	63
DHH	FGF9	62
FOXL2	FGF9	61
CTNNB1	SOX9	60
PGD2	AMH	59
GATA4	DHH	58
WT1mKTS	SOX9	57
RSPO1	SOX9	56
DHH	PGD2	55
GATA4	SOX9	54
PGD2	PGD2	53
CBX2	DHH	52
SOX9	AMH	51
UGR	SOX9	50
FGF9	AMH	49
WT1pKTS	SOX9	48
CTNNB1	AMH	47
NR0B1	AMH	46
NR5A1	SOX9	45
CTNNB1	FGF9	44
DKK1	AMH	43
WNT4	DHH	42
DMRT1	AMH	41
NR5A1	DHH	40
CTNNB1	DHH	39
WNT4	AMH	38
SRY	SOX9	37
PGD2	DHH	36
FOXL2	PGD2	35
RSPO1	DHH	34
CBX2	SOX9	33
DMRT1	PGD2	32
WNT4	FGF9	31
UGR	PGD2	30
GATA4	PGD2	29
WT1mKTS	PGD2	28
UGR	FGF9	27
SOX9	FGF9	26
NR0B1	SOX9	25
SOX9	DHH	24
RSPO1	AMH	23
WNT4	PGD2	22
NR0B1	DHH	21
DKK1	FGF9	20
DKK1	PGD2	19
CTNNB1	PGD2	18
RSPO1	FGF9	17
WT1pKTS	DHH	16
UGR	DHH	15
DMRT1	FGF9	14
NR5A1	PGD2	13
NR0B1	FGF9	12
SRY	PGD2	11
CBX2	PGD2	10
DMRT1	DHH	9
RSPO1	PGD2	8
FOXL2	AMH	7
SRY	FGF9	6
SRY	DHH	5
DKK1	DHH	4
NR0B1	PGD2	3
WT1pKTS	PGD2	2
SOX9	PGD2	1
SRY	AMH	0
