Gene1	Gene2	EdgeWeight
NR5A1	NR0B1	63
WT1pKTS	NR0B1	62
SOX9	GATA4	62
RSPO1	SRY	62
WNT4	SRY	62
WT1pKTS	SRY	61
WT1mKTS	RSPO1	60
WT1pKTS	RSPO1	59
SRY	RSPO1	59
CBX2	WT1mKTS	58
SRY	WNT4	57
WT1mKTS	WNT4	57
CBX2	RSPO1	56
NR5A1	WNT4	54
GATA4	RSPO1	53
WT1pKTS	WNT4	52
UGR	GATA4	52
CTNNB1	WT1mKTS	51
DKK1	NR5A1	51
DMRT1	NR5A1	48
GATA4	NR5A1	47
CTNNB1	GATA4	46
DKK1	GATA4	46
NR0B1	WNT4	45
CBX2	WNT4	45
GATA4	WNT4	44
GATA4	SRY	44
SOX9	WT1mKTS	43
RSPO1	WT1mKTS	43
WNT4	WT1mKTS	40
DMRT1	GATA4	38
CBX2	GATA4	37
RSPO1	GATA4	36
WT1mKTS	GATA4	35
DKK1	WT1mKTS	34
NR0B1	GATA4	32
WT1mKTS	NR5A1	31
NR0B1	SRY	30
NR5A1	GATA4	29
GATA4	WT1mKTS	28
NR0B1	NR5A1	27
SRY	GATA4	27
WT1mKTS	SRY	26
WNT4	GATA4	26
DMRT1	WT1mKTS	26
WT1pKTS	GATA4	25
DHH	PGD2	22
AMH	PGD2	22
FGF9	PGD2	21
NR5A1	SRY	19
SRY	NR5A1	16
DHH	FGF9	15
PGD2	FGF9	14
SRY	WT1mKTS	14
WT1pKTS	WT1mKTS	14
AMH	FGF9	13
NR5A1	WT1mKTS	13
NR0B1	WT1mKTS	13
AMH	DHH	12
FGF9	DHH	12
PGD2	DHH	11
NR0B1	PGD2	9
WT1pKTS	NR5A1	9
FOXL2	PGD2	9
WNT4	PGD2	8
CTNNB1	PGD2	8
DMRT1	PGD2	8
SOX9	PGD2	8
DKK1	PGD2	7
RSPO1	PGD2	7
NR0B1	FGF9	7
CBX2	PGD2	6
GATA4	PGD2	6
UGR	PGD2	6
WT1pKTS	PGD2	6
WT1mKTS	PGD2	6
SRY	PGD2	6
NR5A1	PGD2	6
CBX2	FGF9	4
FOXL2	FGF9	4
UGR	FGF9	4
GATA4	FGF9	4
WNT4	FGF9	4
RSPO1	FGF9	4
RSPO1	DHH	4
CTNNB1	FGF9	4
UGR	DHH	4
CTNNB1	DHH	4
WNT4	DHH	4
WT1mKTS	DHH	4
FOXL2	DHH	4
GATA4	DHH	4
CBX2	DHH	4
WT1mKTS	FGF9	3
NR0B1	DHH	3
CBX2	UGR	3
WT1pKTS	FGF9	3
WNT4	UGR	2
WT1pKTS	UGR	2
SRY	UGR	2
PGD2	CBX2	1
SOX9	FGF9	1
CTNNB1	CBX2	1
FGF9	CBX2	1
SOX9	CBX2	1
DMRT1	CBX2	1
DHH	CBX2	1
RSPO1	CBX2	1
DKK1	FGF9	1
AMH	CBX2	1
FOXL2	CBX2	1
AMH	UGR	1
DMRT1	FGF9	1
DMRT1	UGR	1
FGF9	UGR	1
RSPO1	UGR	1
DHH	UGR	1
CTNNB1	UGR	1
PGD2	UGR	1
WT1mKTS	UGR	1
DKK1	UGR	1
DKK1	CBX2	1
NR0B1	UGR	1
FOXL2	UGR	1
SOX9	UGR	1
GATA4	UGR	1
WNT4	CBX2	0
UGR	CBX2	0
NR0B1	CBX2	0
NR5A1	CBX2	0
WT1pKTS	CBX2	0
SRY	CBX2	0
WT1pKTS	DHH	0
WT1mKTS	CBX2	0
SRY	FGF9	0
SOX9	DHH	0
NR5A1	FGF9	0
DMRT1	DHH	0
NR5A1	DHH	0
DKK1	DHH	0
SRY	DHH	0
NR5A1	UGR	0
GATA4	CBX2	0
