Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CREM 20920259 ChIP-Seq GC1-SPG Mouse	55/5776	2.1922961346868924E-4	0.003927863907980682	0	0	1.523545706371191	12.836468151636618	EIF4A2;ERRFI1;HSP90AB1;YBX1;BACH1;AREG;ACTG1;HERPUD1;EEF1B2;AKAP12;CFL1;COTL1;PIM1;PIM3;SNRNP35;DUSP4;CDV3;TPM4;IMP3;PAWR;MIF;NEAT1;DYNLL1;RBX1;EEF1A1;PTP4A1;TRAF4;EEF1D;DDIT3;POLR1D;GAPDH;AVPI1;DDX21;SSFA2;PPM1G;TAF1D;ABL2;RICTOR;SLC38A2;CTNNAL1;MARCKSL1;HSPA5;H3F3A;HMGA1;ARHGAP29;EEF2;COX6C;HSPE1;ELL2;KLF3;FOSL2;FOSL1;MAFF;HDGF;P4HB
NCOR1 26117541 ChIP-Seq K562 Human	26/2000	2.32591845072438E-4	0.004054641623560068	0	0	2.0799999999999996	17.401748787013883	PPP1R15A;HSP90AB1;DDX21;BACH1;ACTG1;HERPUD1;PIM1;PIM3;RICTOR;SLC38A2;IER2;S100A11;TPM4;HSPA5;TNFRSF12A;H3F3A;HMGA1;NEAT1;TRAF4;STK17A;DDIT3;LUC7L3;VDAC1;HDGF;P4HB;FTL
LXR 22158963 ChIP-Seq LIVER Mouse	26/2000	2.32591845072438E-4	0.003947940528203224	0	0	2.0799999999999996	17.401748787013883	PPP1R15A;ERRFI1;AHCY;ASAP1;BACH1;CLDN1;AREG;HERPUD1;PIM1;PIM3;PHLDA1;SLC38A2;IER2;NEAT1;F3;KLF3;FOSL2;EEF1A1;PTP4A1;NDUFS6;DDIT3;TXNIP;SNRPE;P4HB;GAPDH;FERMT2
ZFP281 18757296 ChIP-ChIP E14 Mouse	26/2004	2.400620715396015E-4	0.003970257337001102	0	0	2.0758483033932134	17.301392331561836	EIF4A2;HSP90AB1;HERPUD1;MYC;CFL1;COTL1;PIM1;AP1S1;IER2;SOX4;DUSP4;MARCKSL1;TNFRSF12A;ITGA3;HMGA1;LIF;RBX1;EEF1A1;VAMP8;CLDN4;TRAF4;DDIT3;TXNIP;VDAC1;HDGF;AVPI1
KLF4 19030024 ChIP-ChIP MESCs Mouse	21/1502	3.962607640292054E-4	0.006389704819970937	0	0	2.237017310252996	17.523536557803947	EIF4A2;HSP90AB1;AHCY;TPM4;HMGA1;DDX21;MIF;DKK1;KLF3;ACTG1;FOSL2;AKAP12;GPRC5A;MYC;CFL1;PIM1;TXNIP;SLC38A2;GAPDH;CTNNAL1;IER2
FOXO3 23340844 ChIP-Seq DLD1 Human	13/695	4.14171054173225E-4	0.006515617803456833	0	0	2.992805755395683	23.311656848765836	EIF4A2;ERRFI1;F3;KLF3;EREG;CLDN4;NDUFS5;MAFF;PIM1;AP1S1;TXNIP;VDAC1;RICTOR
CREB1 20920259 ChIP-Seq GC1-SPG Mouse	34/3057	4.2486366774998664E-4	0.006524692040446223	0	0	1.7795224075891396	13.815753251268374	EIF4A2;ERRFI1;HSP90AB1;AHCY;DDX21;ASAP1;ACTG1;TAF1D;MYC;SLC38A2;IER2;DUSP4;TPM4;HSPA5;TNFRSF12A;PAWR;NEAT1;EEF2;HSPE1;ELL2;EREG;RBX1;FOSL2;EEF1A1;PTP4A1;TRAF4;EEF1D;NDUFS6;DDIT3;MAFF;SNRPE;P4HB;GAPDH;AVPI1
SOX2 18692474 ChIP-Seq MEFs Mouse	25/1991	5.287449147177607E-4	0.00793117372076641	0	0	2.009040683073832	15.158220884389948	EIF4A2;HSP90AB1;YBX1;BACH1;MYC;PIM1;ABL2;SLC38A2;CTNNAL1;IER2;MIF;EEF2;COX6C;DKK1;KLF3;COASY;EEF1A1;CLDN4;MRPL51;TXNIP;VDAC1;P4HB;GAPDH;HBEGF;AVPI1
PPARA 22158963 ChIP-Seq LIVER Mouse	25/2000	5.652055311602728E-4	0.008285399263599454	0	0	2.0	14.956642242003456	ERRFI1;HSP90AB1;CITED4;CLDN1;EEF1B2;MYC;CFL1;PIM1;PIM3;IER2;HSPA5;HMGA1;EEF2;HSPE1;KLF3;FOSL2;PTP4A1;EEF1D;DDIT3;MAFF;TXNIP;LUC7L3;HDGF;P4HB;GAPDH
ELF3 26769127 Chip-Seq PDAC-Cell line Human	25/2000	5.652055311602728E-4	0.00810127927996391	0	0	2.0	14.956642242003456	ERRFI1;CITED4;YBX1;PIM1;ABL2;PIM3;PHLDA1;SLC38A2;S100A11;CDV3;IMP3;CNPY2;DKK1;ELL2;F3;FOSL1;TRAF4;NDUFS5;SNRPE;VDAC1;HDGF;GAPDH;FERMT2;FTL;AVPI1
SMARCA4 20176728 ChIP-ChIP TSCs Mouse	17/1118	5.933611303534309E-4	0.008319954979955716	0	0	2.4329159212880143	18.07585331578776	AHCY;PDCD6;PAWR;EEF2;DYNLL1;BACH1;HERPUD1;CLDN4;NDUFS6;PIM1;AP1S1;TXNIP;HDGF;SLC38A2;HBEGF;AVPI1;HSPA1A
HNF4A 19761587 ChIP-ChIP CACO-2 Human	17/1126	6.427947123183503E-4	0.008821331690326296	0	0	2.4156305506216693	17.75412398614917	TRAPPC1;HSPA5;NDUFB3;LIF;NDUFC2;HSPE1;RBX1;EEF1B2;EEF1A1;VAMP8;CLDN4;NDUFS6;DDIT3;NDUFS5;PIM1;PIM3;SNRPE
POU5F1 18700969 ChIP-ChIP MESCs Mouse	11/567	8.677412599531833E-4	0.0116602731806209	0	0	3.1040564373897706	21.882408953474844	AKAP12;CLDN4;AHCY;NDUFS6;TMSB4X;NDUFB3;TXNIP;MIF;PHLDA1;SLC38A2;IER2
BRD4 25478319 ChIP-Seq HGPS Human	27/2326	0.0010277892461447364	0.013529062525782756	0	0	1.8572656921754085	12.778628990818223	ERRFI1;PDCD6;ASAP1;BACH1;RND3;AREG;HERPUD1;SSFA2;AKAP12;MINOS1;MYC;ABL2;RICTOR;SLC38A2;S100A11;HSPA5;ITGA3;ARHGAP29;ELL2;EEF1A1;PTP4A1;STK17A;MAFF;SNRPE;HDGF;FERMT2;AVPI1
CLOCK 20551151 ChIP-Seq 293T Human	9/407	0.0010501443073170139	0.013546861564389478	0	0	3.5380835380835376	24.267105335997957	HSP90AB1;HSPA5;PIM1;PIM3;EEF2;DYNLL1;SLC25A5;HSPE1;HERPUD1
CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	22/1735	0.0010580518477301783	0.01338124395658755	0	0	2.0288184438040346	13.900096434284778	EIF4A2;DUSP4;ERRFI1;TPM4;HSPA5;PAWR;NME4;ASAP1;NEAT1;COX6C;RND3;KLF3;FOSL2;VAMP8;MYC;DDIT3;TXNIP;SLC25A5;PHLDA1;SLC38A2;IER2;SOX4
VDR 23849224 ChIP-Seq CD4+ Human	26/2231	0.0012247563986291625	0.015191689944534804	0	0	1.8646346929627968	12.502400440238766	EIF4A2;PPP1R15A;NDUFA13;HSP90AB1;PDCD6;NDUFB3;HERPUD1;PPM1G;EEF1B2;PIM3;SEC61B;SNRNP35;HNRNPA1;SLC38A2;IER2;CDV3;DYNLT1;HMGA1;COX6C;HSPE1;KLF3;RBX1;MRPL51;DDIT3;LUC7L3;SNRPE
KLF4 26769127 Chip-Seq PDAC-Cell line Human	24/2000	0.0013110141263572071	0.015954794556611293	0	0	1.92	12.742952254090035	ERRFI1;MARCKSL1;TPM4;METRN;H3F3A;CITED4;DDX21;YBX1;BACH1;F3;SSFA2;FOSL1;VAMP8;NDUFS5;COTL1;TXNIP;ABL2;LUC7L3;PIM3;SNRPE;RICTOR;SLC38A2;S100A11;AVPI1
KDM2B 26808549 Chip-Seq SIL-ALL Human	24/2000	0.0013110141263572071	0.01565933539815553	0	0	1.92	12.742952254090035	MARCKSL1;TPM4;TNFRSF12A;HMGA1;PAWR;YBX1;NEAT1;ACTG1;FOSL2;EEF1A1;PTP4A1;TRAF4;MYC;NDUFS5;POLR1D;HDGF;PHLDA1;SLC38A2;GAPDH;IER2;SOX4;S100A11;FTL;AVPI1
UTX 26944678 Chip-Seq JUKART Human	24/2000	0.0013110141263572071	0.015374620209098156	0	0	1.92	12.742952254090035	MARCKSL1;HSP90AB1;TPM4;H3F3A;HMGA1;NDUFC2;YBX1;NEAT1;ACTG1;HERPUD1;EEF1A1;MRPL51;DDIT3;CFL1;PIM3;HNRNPA1;SLC38A2;GAPDH;IER2;SOX4;S100A11;FTL;HBEGF;AVPI1
MYC 22102868 ChIP-Seq BL Human	13/797	0.0014579937268149711	0.01679296346063672	0	0	2.60978670012547	17.043718208082826	HSP90AB1;HMGA1;YBX1;EEF2;HSPE1;BACH1;TRAF4;COTL1;POLR1D;PIM3;SLC38A2;GAPDH;FTL
SMAD1 18555785 ChIP-Seq MESCs Mouse	11/610	0.001558894540270398	0.017640122429375557	0	0	2.8852459016393444	18.649589955784418	EIF4A2;EEF1B2;CLDN4;HSP90AB1;MRPL51;TXNIP;PAWR;EEF2;SLC25A5;BACH1;CLDN1
PRDM14 21183938 ChIP-Seq MESCs Mouse	23/1944	0.002016491919759628	0.022424780831809654	0	0	1.8930041152263373	11.74873307543856	UQCRB;LIF;PAWR;MIF;YBX1;KLF3;AKAP12;CLDN4;MRPL51;GPRC5A;MYC;TMSB4X;PIM1;POLR1D;PIM3;VDAC1;HDGF;SLC25A5;PHLDA1;SLC38A2;IER2;SOX4;FERMT2
KLF4 18555785 ChIP-Seq MESCs Mouse	27/2444	0.0021328378642840465	0.023316617329884916	0	0	1.76759410801964	10.871237322104774	EIF4A2;HSP90AB1;PDCD6;SSFA2;PPM1G;EEF1B2;AKAP12;TMSB4X;CFL1;PIM1;ABL2;CTNNAL1;IER2;TRAPPC1;TNFRSF12A;PAWR;MIF;HSPE1;KLF3;EEF1A1;PTP4A1;CLDN4;MRPL51;GPRC5A;TXNIP;HDGF;AVPI1
VDR 24763502 ChIP-Seq THP-1 Human	17/1288	0.0027341417402888765	0.02939202370810542	0	0	2.111801242236025	12.463719363219559	DUSP4;CDV3;UQCRB;NEAT1;EEF2;F3;FOSL2;EEF1A1;TAF1D;MYC;DDIT3;TMSB4X;CFL1;PIM3;SEC61B;P4HB;FTL
