Gene1	Gene2	EdgeWeight
GATA4	GATA4	305
DHH	RSPO1	304
FGF9	WT1mKTS	304
RSPO1	RSPO1	302
SRY	WT1pKTS	301
DHH	WT1mKTS	301
CTNNB1	NR0B1	300
DMRT1	CBX2	300
PGD2	DMRT1	298
WT1pKTS	CBX2	298
SRY	DMRT1	297
DHH	CBX2	296
WNT4	CBX2	296
WNT4	SRY	295
DHH	DMRT1	295
FGF9	DKK1	294
CBX2	SRY	294
CBX2	NR0B1	293
FOXL2	GATA4	292
RSPO1	WNT4	291
PGD2	DKK1	290
WNT4	NR5A1	289
AMH	NR5A1	289
WT1mKTS	WT1mKTS	288
DKK1	CTNNB1	288
SOX9	SRY	287
FGF9	NR5A1	287
UGR	NR5A1	286
NR0B1	CBX2	285
PGD2	CBX2	284
DHH	NR5A1	284
SOX9	CBX2	283
WNT4	GATA4	283
FGF9	WNT4	282
DMRT1	NR5A1	281
FGF9	UGR	279
FOXL2	DKK1	279
DKK1	SRY	278
DMRT1	WNT4	278
FOXL2	CTNNB1	277
WT1pKTS	UGR	277
NR5A1	UGR	276
NR5A1	CTNNB1	276
RSPO1	GATA4	275
NR5A1	GATA4	275
DHH	CTNNB1	274
NR0B1	GATA4	273
DMRT1	WT1mKTS	272
UGR	WNT4	272
AMH	CTNNB1	271
PGD2	SRY	271
AMH	WT1pKTS	270
DHH	WT1pKTS	270
CTNNB1	WNT4	269
WT1mKTS	NR0B1	269
PGD2	NR5A1	268
GATA4	WT1mKTS	267
CTNNB1	DMRT1	267
FGF9	CBX2	266
NR5A1	CBX2	265
GATA4	UGR	265
SOX9	GATA4	264
RSPO1	DMRT1	264
PGD2	NR0B1	263
AMH	DKK1	263
GATA4	WT1pKTS	262
FOXL2	DMRT1	262
WT1pKTS	DMRT1	261
DKK1	DMRT1	259
WT1pKTS	RSPO1	259
CBX2	WNT4	258
SOX9	DMRT1	257
DMRT1	CTNNB1	257
RSPO1	WT1pKTS	256
DKK1	AMH	256
DKK1	WT1mKTS	255
WT1mKTS	DKK1	254
SRY	WNT4	253
SOX9	CTNNB1	253
NR5A1	WT1mKTS	252
CTNNB1	UGR	251
WT1mKTS	WT1pKTS	251
DMRT1	GATA4	250
FGF9	DMRT1	248
DHH	UGR	248
NR0B1	RSPO1	247
CTNNB1	WT1mKTS	246
PGD2	GATA4	246
WT1pKTS	NR0B1	245
AMH	NR0B1	244
CTNNB1	DKK1	243
UGR	DKK1	242
NR0B1	AMH	240
CBX2	DKK1	239
AMH	CBX2	239
NR0B1	NR5A1	238
SRY	GATA4	237
WT1pKTS	CTNNB1	236
SRY	WT1mKTS	236
AMH	WNT4	235
SRY	NR0B1	234
NR5A1	PGD2	234
PGD2	WNT4	233
NR5A1	NR0B1	233
DHH	AMH	232
NR0B1	UGR	232
RSPO1	DKK1	230
NR0B1	WT1mKTS	230
NR5A1	SRY	229
SRY	RSPO1	228
DHH	GATA4	227
AMH	UGR	226
CTNNB1	GATA4	226
SOX9	NR0B1	224
NR5A1	NR5A1	223
NR0B1	DMRT1	223
CBX2	WT1pKTS	222
GATA4	FOXL2	222
DHH	DKK1	221
AMH	RSPO1	220
CTNNB1	WT1pKTS	219
WT1pKTS	DKK1	218
FGF9	RSPO1	217
WT1mKTS	UGR	216
PGD2	FOXL2	215
DKK1	DHH	214
FGF9	FOXL2	212
AMH	GATA4	211
AMH	FOXL2	211
WT1mKTS	GATA4	210
CBX2	GATA4	210
GATA4	WNT4	209
FOXL2	WNT4	209
PGD2	RSPO1	207
AMH	DHH	207
DHH	NR0B1	206
NR5A1	DHH	203
WT1pKTS	SOX9	202
WT1mKTS	NR5A1	199
PGD2	WT1pKTS	198
DMRT1	UGR	197
FGF9	NR0B1	195
GATA4	AMH	195
PGD2	DHH	194
WT1mKTS	AMH	193
SRY	CBX2	192
FOXL2	RSPO1	191
FGF9	AMH	191
WT1pKTS	GATA4	190
DHH	FOXL2	189
FGF9	FGF9	189
SOX9	WT1mKTS	187
UGR	WT1mKTS	186
FGF9	WT1pKTS	185
SOX9	NR5A1	184
WNT4	WNT4	183
DKK1	CBX2	182
FOXL2	WT1pKTS	182
FOXL2	SOX9	181
DHH	PGD2	180
FOXL2	DHH	179
FOXL2	NR0B1	179
DKK1	UGR	177
WT1pKTS	DHH	176
RSPO1	FOXL2	175
FGF9	PGD2	175
FGF9	DHH	173
WNT4	WT1pKTS	172
UGR	GATA4	171
RSPO1	NR0B1	170
WNT4	NR0B1	170
SOX9	DKK1	169
WT1pKTS	WNT4	168
FOXL2	CBX2	168
DMRT1	PGD2	167
SOX9	UGR	167
SOX9	FGF9	165
DMRT1	SOX9	164
RSPO1	PGD2	162
GATA4	DKK1	161
WT1mKTS	FOXL2	161
WNT4	DHH	159
WT1pKTS	AMH	157
DMRT1	NR0B1	156
WT1pKTS	PGD2	156
WNT4	WT1mKTS	153
GATA4	PGD2	153
GATA4	DHH	152
WNT4	FOXL2	151
DKK1	PGD2	151
FGF9	SOX9	149
CTNNB1	CTNNB1	149
GATA4	NR5A1	148
FOXL2	UGR	146
WT1mKTS	DMRT1	146
AMH	SOX9	145
DKK1	NR0B1	145
CTNNB1	PGD2	144
FOXL2	PGD2	143
UGR	WT1pKTS	143
FOXL2	AMH	141
NR0B1	NR0B1	140
DHH	SOX9	139
PGD2	SOX9	138
RSPO1	WT1mKTS	138
CBX2	WT1mKTS	137
CBX2	FOXL2	136
RSPO1	FGF9	136
UGR	FOXL2	134
WT1mKTS	FGF9	133
NR0B1	DKK1	132
SRY	SOX9	130
CBX2	SOX9	129
DKK1	SOX9	127
UGR	DMRT1	125
SRY	PGD2	125
NR5A1	FGF9	124
SRY	DHH	122
WNT4	FGF9	120
WT1mKTS	PGD2	119
SOX9	SOX9	117
AMH	FGF9	116
PGD2	AMH	115
NR5A1	SOX9	114
DMRT1	DHH	108
SOX9	DHH	104
NR0B1	FGF9	95
WT1mKTS	DHH	93
CTNNB1	DHH	93
RSPO1	AMH	92
SOX9	AMH	91
DHH	FGF9	90
DMRT1	FGF9	87
GATA4	SOX9	86
UGR	PGD2	84
RSPO1	DHH	83
NR0B1	DHH	82
CBX2	PGD2	81
DMRT1	AMH	80
WT1pKTS	FGF9	80
CBX2	FGF9	78
NR5A1	AMH	77
PGD2	FGF9	74
GATA4	FGF9	73
CTNNB1	SOX9	70
WNT4	AMH	67
WNT4	PGD2	66
UGR	AMH	65
CBX2	AMH	63
FOXL2	FGF9	61
WT1mKTS	SOX9	57
UGR	DHH	56
DKK1	FGF9	55
UGR	SOX9	54
CBX2	DHH	52
NR0B1	PGD2	51
CTNNB1	AMH	47
CTNNB1	FGF9	44
SRY	AMH	32
UGR	FGF9	27
SRY	FGF9	27
