Gene1	Gene2	Score
CTNNB1	DMRT1	-0.203485629790427
SRY	WT1mKTS	0.203092119998207
RSPO1	DMRT1	-0.203076015424822
CTNNB1	DKK1	-0.203046838406745
DKK1	WT1pKTS	-0.197011346210119
DKK1	CTNNB1	0.193887053151109
DMRT1	NR0B1	0.193171316479622
NR5A1	SOX9	0.19306869315809
DMRT1	DHH	0.192932966112738
DKK1	NR5A1	-0.191667389308453
DKK1	FOXL2	0.191347466071784
DMRT1	WT1pKTS	-0.190170540515186
DMRT1	WNT4	0.189438579597001
DKK1	CBX2	-0.187362004538762
DKK1	WNT4	0.186101633454607
DMRT1	NR5A1	-0.181607738762052
DMRT1	CTNNB1	0.181575954876738
DMRT1	CBX2	-0.180465313526303
CBX2	WT1mKTS	-0.179283012515708
DMRT1	FOXL2	0.178356970902866
DKK1	DHH	0.176186914295415
SOX9	WNT4	0.174442933178291
DKK1	UGR	-0.173865041024053
WT1pKTS	SOX9	0.168579505525906
DKK1	GATA4	0.1685128095624
SOX9	DHH	0.165615504204086
SOX9	NR5A1	0.162211407548599
DMRT1	UGR	-0.161613974160268
SOX9	WT1pKTS	0.158225252528661
DKK1	PGD2	0.157159009855892
DMRT1	GATA4	0.155521727813279
WT1pKTS	NR0B1	0.153885556790362
FOXL2	DMRT1	-0.146165103311442
SOX9	GATA4	0.145389379594387
CTNNB1	SOX9	-0.144726637991374
DHH	AMH	0.144476494756898
PGD2	WT1mKTS	0.143573819530248
SOX9	RSPO1	0.142555147385113
RSPO1	SOX9	-0.142460715003598
DMRT1	WT1mKTS	0.142358376403962
SOX9	WT1mKTS	0.13896288472755
FOXL2	DKK1	-0.138732367277626
AMH	GATA4	0.138269906297497
SRY	DHH	0.136410303602107
SOX9	NR0B1	0.135668430648388
DHH	PGD2	0.134338188971916
PGD2	DKK1	0.133370691879224
DKK1	WT1mKTS	0.132032604502392
AMH	DKK1	0.131440265509667
AMH	SOX9	0.130249763947642
PGD2	DHH	0.130044451579728
DMRT1	PGD2	0.128669224001686
DKK1	AMH	0.126608869956765
PGD2	SOX9	0.125584919191866
PGD2	FGF9	0.124908662471554
SOX9	FGF9	0.123086838404567
FOXL2	DHH	0.123017516107212
DMRT1	AMH	0.122525916983206
PGD2	CTNNB1	0.121947492250071
SOX9	PGD2	0.121562794280382
SOX9	AMH	0.121307888644516
AMH	WT1mKTS	-0.121282990146259
FGF9	SOX9	0.119533128460031
DHH	GATA4	0.118234537780766
PGD2	DMRT1	0.117952862387821
SOX9	CTNNB1	0.11650630123206
AMH	DMRT1	0.116454461383898
WT1mKTS	DHH	0.116379515900456
PGD2	WNT4	0.115864375124065
PGD2	AMH	0.115306700511027
DKK1	FGF9	0.115247553239462
AMH	FGF9	0.115003628148555
SOX9	FOXL2	-0.114435448923047
FGF9	DHH	0.113734132798137
DHH	SOX9	0.113290354678844
GATA4	PGD2	0.111800350064554
FGF9	SRY	0.111510721789748
FGF9	NR0B1	-0.110853167590004
CBX2	DHH	-0.110304638436062
FGF9	DMRT1	0.109750549539098
AMH	PGD2	0.109081000308746
FGF9	DKK1	0.108790046790293
CTNNB1	DHH	0.107638947941721
CTNNB1	AMH	0.107339380858276
CBX2	FGF9	-0.106776272591302
SOX9	CBX2	-0.106261806581028
DMRT1	FGF9	0.106219254617331
WT1pKTS	DHH	-0.1061126691624
PGD2	NR0B1	0.106095112937307
WT1mKTS	FGF9	-0.105632182482172
NR0B1	DHH	0.105399725942415
PGD2	SRY	-0.104752458265689
FGF9	PGD2	0.10458773473352
DHH	WT1mKTS	0.103860301269358
GATA4	DHH	0.103533530723087
PGD2	GATA4	0.103334508277038
SOX9	UGR	-0.103274529993831
NR5A1	DHH	-0.102421908804381
RSPO1	DHH	0.102370053952295
FOXL2	AMH	0.101980099553788
GATA4	AMH	0.10154940766229
RSPO1	AMH	0.100253275083678
FOXL2	SOX9	-0.100028081134444
FGF9	WT1mKTS	0.0996695722241909
DHH	NR0B1	0.0995008538263348
SRY	FGF9	-0.0988169079737397
FGF9	AMH	0.0984622691598592
WNT4	DHH	0.0977847360831856
DHH	CTNNB1	0.0960704774904601
SRY	PGD2	0.0958017703853717
AMH	DHH	0.0956956378585648
DHH	FGF9	-0.0948939657889109
GATA4	FGF9	-0.0945509928019651
UGR	FGF9	-0.0943708133851773
FGF9	GATA4	-0.0936844607356319
PGD2	RSPO1	0.0932979789829482
PGD2	UGR	-0.0932744444117256
DHH	WNT4	0.0929621692046608
AMH	WNT4	0.092479898067441
WT1mKTS	PGD2	0.092373586416607
WNT4	AMH	0.0910189398874072
DHH	DKK1	0.0903593154393148
NR5A1	FGF9	-0.0903070177617532
WT1pKTS	AMH	-0.0896005935355477
NR5A1	AMH	-0.0893571642203558
PGD2	CBX2	-0.0889355034955993
FGF9	WNT4	0.0888310113711843
UGR	DHH	-0.0887434545681185
PGD2	WT1pKTS	-0.0878480904472483
DHH	RSPO1	0.0878355015738156
NR0B1	AMH	0.0868174043663655
PGD2	NR5A1	-0.0862626160007774
SRY	AMH	-0.0857375349108059
DHH	DMRT1	0.0855323189964709
DHH	CBX2	-0.0840894755874955
WT1mKTS	AMH	0.0837640156460398
DHH	UGR	-0.0837294574864116
WNT4	FGF9	0.0814619994911408
AMH	SRY	-0.0800489894239413
PGD2	FOXL2	0.0789838982504808
NR0B1	FGF9	0.078025303475371
NR5A1	PGD2	0.0767971737131135
CTNNB1	FGF9	0.0763108975144488
AMH	NR0B1	-0.0762438790319009
NR0B1	PGD2	0.0751821225216155
FGF9	UGR	-0.0742991895640019
WT1pKTS	FGF9	-0.0732195951106104
UGR	AMH	-0.0720372921689921
DHH	SRY	-0.0710250070792996
CBX2	PGD2	0.0709482425493373
RSPO1	FGF9	0.0706200292516518
WT1pKTS	PGD2	0.0675529956230513
WNT4	PGD2	-0.0673060255001424
FOXL2	FGF9	0.0672819460521243
AMH	CBX2	0.0656214543876731
RSPO1	PGD2	-0.0653565384877473
CBX2	AMH	-0.0652302794718219
AMH	UGR	-0.0612271348684333
CTNNB1	PGD2	-0.06114736307045
DHH	FOXL2	0.0609129045120116
AMH	NR5A1	0.0602323747265967
FGF9	RSPO1	0.0597971469876248
UGR	PGD2	0.0590196717428004
FGF9	NR5A1	0.058456956813917
FGF9	CBX2	0.0584558404769608
DHH	NR5A1	-0.0559441808388167
AMH	RSPO1	-0.0553610978856727
FGF9	WT1pKTS	0.0546299596110875
FGF9	CTNNB1	-0.0530004000804198
FOXL2	PGD2	-0.0520656073094616
AMH	CTNNB1	-0.0508466200972536
DHH	WT1pKTS	-0.0475732113755619
FGF9	FOXL2	-0.0472797366724685
AMH	WT1pKTS	0.0441187405404219
AMH	FOXL2	-0.0315041838992093
