Gene1	Gene2	Score
GATA4	DHH	0.46479722245096
PGD2	DHH	0.464788549276163
DHH	PGD2	0.464788549276163
WT1mKTS	FGF9	0.46444926725102
WT1mKTS	AMH	0.458911002895189
WT1pKTS	PGD2	0.457380337645875
GATA4	PGD2	0.457339501865796
RSPO1	UGR	-0.449992059374545
GATA4	AMH	0.449591861751763
WT1pKTS	DHH	0.44736696427219
WT1pKTS	FGF9	0.443442440072278
WT1pKTS	AMH	0.438204721052388
CTNNB1	DKK1	0.433634591478736
SOX9	SRY	0.433128923171033
WNT4	GATA4	0.428514048171364
SRY	CTNNB1	-0.424259325481406
WNT4	WT1pKTS	0.419681520802848
CTNNB1	NR0B1	-0.415962214780075
CTNNB1	PGD2	0.415741044858248
CTNNB1	AMH	0.412354740057503
AMH	DHH	0.405763287193153
DHH	AMH	0.405763287193153
NR5A1	CTNNB1	0.39992833182805
DMRT1	RSPO1	0.398805007362943
CTNNB1	FGF9	0.398772474901699
DKK1	RSPO1	0.392383125603942
CTNNB1	DHH	0.389258373476761
FGF9	DHH	0.388735475433071
NR0B1	NR5A1	0.385549923718673
WNT4	FGF9	0.382385845296392
FGF9	PGD2	0.376945176829194
WNT4	DHH	0.376377685315421
DMRT1	WT1mKTS	0.375207965951478
WNT4	PGD2	0.374028161704714
DKK1	WT1mKTS	0.372032395122294
UGR	WT1pKTS	-0.371602396636964
WNT4	WT1mKTS	0.369971845060592
FGF9	AMH	0.368758130621761
SOX9	CBX2	-0.366429510684661
WNT4	AMH	-0.359283280484019
UGR	GATA4	-0.358433908457229
FGF9	SOX9	0.357613005677909
SOX9	WNT4	-0.352989347181454
CTNNB1	SRY	0.350236844322845
CTNNB1	CBX2	-0.348027065423235
DKK1	WT1pKTS	0.346641568407909
DMRT1	WT1pKTS	0.3461783583827
UGR	WT1mKTS	-0.343038169008206
CTNNB1	UGR	-0.337908952469111
DKK1	GATA4	0.337298301032192
DMRT1	GATA4	0.332409172745846
PGD2	SOX9	0.330915127673749
DHH	FGF9	0.321698133694208
GATA4	RSPO1	0.317586833194904
PGD2	AMH	0.316528476390722
PGD2	FGF9	0.315423085929595
NR5A1	UGR	-0.314152142167994
RSPO1	GATA4	0.309461573336213
SOX9	UGR	-0.301467958809823
AMH	PGD2	0.298244262718338
DHH	SOX9	0.285194351415288
DKK1	CTNNB1	-0.284049927916273
DMRT1	CTNNB1	-0.280900320426822
WT1pKTS	CTNNB1	-0.271336942004578
RSPO1	WT1pKTS	0.263580449335779
RSPO1	WT1mKTS	0.261178173532156
WT1pKTS	RSPO1	0.259905634125505
GATA4	CTNNB1	-0.254007190192115
SOX9	NR5A1	0.251989995556666
NR5A1	SRY	-0.245136258161422
WT1mKTS	RSPO1	0.241706449787508
WT1mKTS	CTNNB1	-0.241408771909598
CTNNB1	FOXL2	0.239414940764655
NR5A1	GATA4	0.238377085115786
WT1pKTS	NR5A1	-0.238174853387054
GATA4	NR5A1	0.236279765365
CTNNB1	GATA4	0.234582061281634
NR5A1	WT1pKTS	0.223318170014856
PGD2	DMRT1	0.220581134753136
PGD2	DKK1	0.218548420652294
SOX9	WT1mKTS	0.217558205135597
SOX9	RSPO1	-0.206523404260101
NR5A1	WT1mKTS	0.205653212327262
CTNNB1	WT1mKTS	0.205280248134615
AMH	FGF9	0.204819216279323
WT1mKTS	NR5A1	0.200730443059418
SOX9	WT1pKTS	0.193179086837901
CTNNB1	WT1pKTS	0.190608844015013
PGD2	SRY	0.17952892497265
AMH	SOX9	0.178790156028712
FGF9	NR0B1	-0.178429793313148
SOX9	GATA4	0.178193066649807
DHH	DKK1	0.176805324567447
PGD2	NR0B1	-0.172238991903899
FGF9	NR5A1	0.168902802588089
FOXL2	RSPO1	0.164670332645612
DHH	DMRT1	0.163673122685555
PGD2	WT1mKTS	0.159655069003748
FGF9	DKK1	0.159525023288232
SOX9	CTNNB1	-0.158023505905201
CBX2	WT1mKTS	-0.151154607865298
FGF9	DMRT1	0.146352558393757
PGD2	WT1pKTS	0.146120250970515
RSPO1	FOXL2	0.143567014242276
PGD2	CBX2	-0.14315493357662
AMH	DKK1	0.142111345662743
FOXL2	CTNNB1	0.14193212722789
DHH	NR0B1	-0.140946656028908
FGF9	WT1pKTS	0.140485854715293
AMH	NR0B1	-0.140355278535641
FOXL2	NR5A1	-0.136270927408429
FGF9	SRY	0.13590924627876
AMH	DMRT1	0.133803422249979
FOXL2	WNT4	0.132560481988937
DHH	FOXL2	0.132386844772162
FGF9	WT1mKTS	0.132216126167907
DHH	SRY	0.130469433747094
FGF9	WNT4	-0.130277065079019
PGD2	WNT4	-0.129892425710966
FOXL2	NR0B1	0.128765590024478
CBX2	GATA4	0.126890779066504
PGD2	FOXL2	0.126475493743645
PGD2	GATA4	0.123582085571261
DHH	GATA4	0.123002406184941
FGF9	RSPO1	-0.121235434966895
AMH	WNT4	-0.121049597926194
PGD2	UGR	-0.119731758773329
UGR	FOXL2	0.119375218349761
DHH	WT1pKTS	0.119331479049531
AMH	GATA4	0.119013483257882
DHH	WT1mKTS	0.117901766318007
CBX2	FOXL2	0.117631620141406
FOXL2	GATA4	0.116005972243966
FOXL2	WT1pKTS	0.115480955226871
NR5A1	FOXL2	0.112032545890313
AMH	WT1pKTS	0.109538576195293
PGD2	NR5A1	0.109526962848029
DHH	NR5A1	0.109494950059729
FGF9	GATA4	0.108554532987963
FOXL2	WT1mKTS	0.107045900501187
WNT4	FOXL2	0.106909597430959
FOXL2	SRY	0.10678065312786
AMH	SRY	0.106205807744386
AMH	CBX2	-0.105431168616567
DHH	CBX2	-0.105049517954012
AMH	NR5A1	0.104339878149274
PGD2	RSPO1	-0.10128312921612
FGF9	CBX2	-0.101233119889479
AMH	WT1mKTS	0.100237908252786
DHH	WNT4	-0.0988799531253732
AMH	FOXL2	0.0965451758236675
FGF9	UGR	-0.0947284220258737
DHH	UGR	-0.0887657532687803
FOXL2	UGR	-0.0883168616242178
NR0B1	FOXL2	0.0868577864436818
FOXL2	SOX9	0.0866273273804272
FGF9	FOXL2	0.0866266894675121
WT1pKTS	FOXL2	0.0838864923440635
CBX2	WT1pKTS	0.0835575224946903
AMH	UGR	-0.0834889727531772
PGD2	CTNNB1	-0.0827711867476207
FOXL2	CBX2	-0.0824062046200344
DMRT1	FOXL2	-0.0813452895682394
FOXL2	DKK1	0.0802306437722018
FOXL2	FGF9	-0.0801013443384234
AMH	RSPO1	-0.0793818492595149
GATA4	FOXL2	0.079334920193542
DKK1	FOXL2	-0.0789278476468902
AMH	CTNNB1	-0.0777789653868345
FGF9	CTNNB1	-0.0765836696384061
WT1mKTS	FOXL2	0.0762267188771516
FOXL2	DHH	-0.0759001419573894
FOXL2	PGD2	-0.0754119397345789
FOXL2	AMH	-0.0749296896459264
DHH	RSPO1	-0.074314665097197
FOXL2	DMRT1	0.0740351537204265
SRY	FOXL2	-0.0734058282459992
SOX9	FOXL2	-0.0718182736539966
DHH	CTNNB1	-0.0705671763328972
